,num_bikes_available,is_installed,last_reported,station_id,eightd_has_available_keys,station_status,num_docks_available,num_ebikes_available,num_bikes_disabled,is_returning,legacy_id,is_renting,num_docks_disabled,timestamp_of_data_read_request,year_station_last_reported
0,7,True,2020-08-04 23:56:24+00:00,3,True,active,8,0,0,True,3,True,0,2020-08-05 00:11:00,2020
1,9,True,2020-08-04 23:52:24+00:00,4,False,active,9,0,1,True,4,True,0,2020-08-05 00:11:00,2020
2,10,True,2020-08-05 00:06:01+00:00,5,False,active,5,0,0,True,5,True,0,2020-08-05 00:11:00,2020
3,1,True,2020-08-05 00:07:50+00:00,6,False,active,13,0,1,True,6,True,0,2020-08-05 00:11:00,2020
4,5,True,2020-08-04 23:55:11+00:00,7,False,active,9,0,1,True,7,True,0,2020-08-05 00:11:00,2020
5,6,True,2020-08-05 00:03:21+00:00,8,False,active,13,0,0,True,8,True,0,2020-08-05 00:11:00,2020
6,8,True,2020-08-04 23:55:22+00:00,9,False,active,7,0,0,True,9,True,0,2020-08-05 00:11:00,2020
7,5,True,2020-08-04 23:49:46+00:00,10,False,active,6,0,0,True,10,True,0,2020-08-05 00:11:00,2020
8,4,True,2020-08-05 00:08:54+00:00,11,False,active,11,0,0,True,11,True,0,2020-08-05 00:11:00,2020
9,4,True,2020-08-05 00:07:03+00:00,12,True,active,14,0,0,True,12,True,0,2020-08-05 00:11:00,2020
10,1,True,2020-08-05 00:10:56+00:00,13,False,active,18,0,0,True,13,True,0,2020-08-05 00:11:00,2020
11,4,True,2020-08-05 00:10:33+00:00,14,False,active,21,0,0,True,14,True,0,2020-08-05 00:11:00,2020
12,7,True,2020-08-04 23:57:28+00:00,15,False,active,8,0,0,True,15,True,0,2020-08-05 00:11:00,2020
13,9,True,2020-08-04 23:34:22+00:00,16,True,active,10,0,0,True,16,True,0,2020-08-05 00:11:00,2020
14,3,True,2020-08-05 00:07:43+00:00,17,False,active,10,0,2,True,17,True,0,2020-08-05 00:11:00,2020
15,13,True,2020-08-05 00:05:32+00:00,19,False,active,2,0,0,True,19,True,0,2020-08-05 00:11:00,2020
16,12,True,2020-08-04 23:05:06+00:00,20,True,active,10,0,1,True,20,True,0,2020-08-05 00:11:00,2020
17,6,True,2020-08-04 23:47:58+00:00,21,True,active,11,0,1,True,21,True,0,2020-08-05 00:11:00,2020
18,3,True,2020-08-05 00:06:41+00:00,22,True,active,43,0,1,True,22,True,0,2020-08-05 00:11:00,2020
19,0,True,2020-08-05 00:10:53+00:00,23,True,active,19,0,2,True,23,True,0,2020-08-05 00:11:00,2020
20,5,True,2020-08-04 23:51:25+00:00,24,False,active,13,0,1,True,24,True,0,2020-08-05 00:11:00,2020
21,8,True,2020-08-05 00:05:50+00:00,25,False,active,7,0,0,True,25,True,0,2020-08-05 00:11:00,2020
22,10,True,2020-08-04 23:54:04+00:00,26,False,active,4,0,1,True,26,True,0,2020-08-05 00:11:00,2020
23,14,True,2020-08-05 00:00:15+00:00,27,False,active,9,0,0,True,27,True,0,2020-08-05 00:11:00,2020
24,10,True,2020-08-04 20:06:14+00:00,29,False,active,5,0,0,True,29,True,0,2020-08-05 00:11:00,2020
25,14,True,2020-08-05 00:01:48+00:00,30,False,active,1,0,0,True,30,True,0,2020-08-05 00:11:00,2020
26,4,True,2020-08-04 22:49:35+00:00,31,True,active,15,0,0,True,31,True,0,2020-08-05 00:11:00,2020
27,10,True,2020-08-04 23:54:21+00:00,32,False,active,4,0,1,True,32,True,0,2020-08-05 00:11:00,2020
