,num_bikes_available,num_docks_available,station_id,num_docks_disabled,is_installed,eightd_has_available_keys,legacy_id,last_reported,num_ebikes_available,is_returning,is_renting,num_bikes_disabled,station_status,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
0,15,0,3,0,True,False,3,2020-08-18 18:12:37+00:00,0,True,True,0,active,,,2020-08-18 20:26:05,2020
1,4,15,4,0,True,False,4,2020-08-18 20:25:44+00:00,0,True,True,0,active,,,2020-08-18 20:26:05,2020
2,5,9,5,0,True,False,5,2020-08-18 20:16:29+00:00,0,True,True,1,active,,,2020-08-18 20:26:05,2020
3,5,9,6,0,True,False,6,2020-08-18 20:22:31+00:00,0,True,True,1,active,,,2020-08-18 20:26:05,2020
4,5,9,7,0,True,False,7,2020-08-18 20:20:59+00:00,0,True,True,1,active,,,2020-08-18 20:26:05,2020
5,1,15,8,0,True,False,8,2020-08-18 20:24:32+00:00,0,True,True,3,active,,,2020-08-18 20:26:05,2020
6,1,13,9,0,True,False,9,2020-08-18 20:21:01+00:00,0,True,True,1,active,,,2020-08-18 20:26:05,2020
7,0,11,10,0,True,False,10,2020-08-18 19:21:47+00:00,0,True,True,0,active,,,2020-08-18 20:26:05,2020
8,10,5,11,0,True,False,11,2020-08-18 20:22:27+00:00,0,True,True,0,active,[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],"{'off_dock_capacity': 50, 'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0', 'off_dock_count': 43, 'active': True, 'region': 'BOS', 'valet_revision': 92, 'dock_blocked_count': 0}",2020-08-18 20:26:05,2020
9,8,10,12,0,True,False,12,2020-08-18 20:11:59+00:00,0,True,True,0,active,,,2020-08-18 20:26:05,2020
10,5,14,13,0,True,False,13,2020-08-18 20:22:32+00:00,0,True,True,0,active,,,2020-08-18 20:26:05,2020
11,13,11,14,0,True,False,14,2020-08-18 20:13:26+00:00,0,True,True,1,active,,,2020-08-18 20:26:05,2020
12,13,1,15,0,True,False,15,2020-08-18 20:23:23+00:00,0,True,True,1,active,,,2020-08-18 20:26:05,2020
13,4,14,16,0,True,True,16,2020-08-18 20:21:18+00:00,0,True,True,1,active,,,2020-08-18 20:26:05,2020
14,0,15,17,0,True,False,17,2020-08-18 20:25:01+00:00,0,True,True,0,active,,,2020-08-18 20:26:05,2020
15,3,12,19,0,True,False,19,2020-08-18 20:25:22+00:00,0,True,True,0,active,,,2020-08-18 20:26:05,2020
16,20,3,20,0,True,True,20,2020-08-18 20:23:47+00:00,0,True,True,0,active,,,2020-08-18 20:26:05,2020
17,4,14,21,0,True,True,21,2020-08-18 20:20:27+00:00,0,True,True,0,active,,,2020-08-18 20:26:05,2020
18,3,43,22,0,True,True,22,2020-08-18 20:16:52+00:00,0,True,True,1,active,,,2020-08-18 20:26:05,2020
19,10,11,23,0,True,False,23,2020-08-18 20:13:21+00:00,0,True,True,0,active,,,2020-08-18 20:26:05,2020
20,13,5,24,0,True,False,24,2020-08-18 20:21:03+00:00,0,True,True,1,active,,,2020-08-18 20:26:05,2020
21,1,14,25,0,True,False,25,2020-08-18 20:22:39+00:00,0,True,True,0,active,,,2020-08-18 20:26:05,2020
22,8,7,26,0,True,False,26,2020-08-18 20:22:38+00:00,0,True,True,0,active,,,2020-08-18 20:26:05,2020
23,20,3,27,0,True,False,27,2020-08-18 20:23:23+00:00,0,True,True,0,active,,,2020-08-18 20:26:05,2020
24,8,6,29,0,True,False,29,2020-08-18 20:25:37+00:00,0,True,True,1,active,,,2020-08-18 20:26:05,2020
25,7,7,30,0,True,False,30,2020-08-18 20:15:37+00:00,0,True,True,1,active,,,2020-08-18 20:26:05,2020
26,4,15,31,0,True,True,31,2020-08-18 19:08:45+00:00,0,True,True,0,active,,,2020-08-18 20:26:05,2020
27,12,3,32,0,True,False,32,2020-08-18 20:25:34+00:00,0,True,True,0,active,,,2020-08-18 20:26:05,2020
28,22,5,33,0,True,False,33,2020-08-18 20:19:03+00:00,0,True,True,0,active,,,2020-08-18 20:26:05,2020
29,13,10,35,0,True,False,35,2020-08-18 20:19:58+00:00,0,True,True,0,active,,,2020-08-18 20:26:05,2020
30,24,9,36,0,True,True,36,2020-08-18 20:18:08+00:00,0,True,True,0,active,,,2020-08-18 20:26:05,2020
31,15,0,37,0,True,True,37,2020-08-18 19:15:16+00:00,0,True,True,0,active,,,2020-08-18 20:26:05,2020
32,9,13,39,0,True,False,39,2020-08-18 20:23:58+00:00,0,True,True,1,active,,,2020-08-18 20:26:05,2020
33,10,9,40,0,True,False,40,2020-08-18 20:23:17+00:00,0,True,True,0,active,,,2020-08-18 20:26:05,2020
34,10,16,41,0,True,True,41,2020-08-18 20:19:16+00:00,0,True,True,1,active,,,2020-08-18 20:26:05,2020
35,19,3,42,0,True,False,42,2020-08-18 20:18:09+00:00,0,True,True,1,active,,,2020-08-18 20:26:05,2020
36,6,9,43,0,True,True,43,2020-08-18 20:22:43+00:00,0,True,True,0,active,,,2020-08-18 20:26:05,2020
37,20,3,44,0,True,False,44,2020-08-18 19:51:34+00:00,0,True,True,0,active,,,2020-08-18 20:26:05,2020
38,8,11,46,0,True,False,46,2020-08-18 20:25:05+00:00,0,True,True,0,active,,,2020-08-18 20:26:05,2020
39,2,17,47,0,True,True,47,2020-08-18 20:25:46+00:00,0,True,True,0,active,,,2020-08-18 20:26:05,2020
40,13,5,48,0,True,False,48,2020-08-18 20:14:06+00:00,0,True,True,1,active,,,2020-08-18 20:26:05,2020
41,14,4,49,0,True,False,49,2020-08-18 20:25:45+00:00,0,True,True,0,active,,,2020-08-18 20:26:05,2020
42,13,2,50,0,True,True,50,2020-08-18 20:25:34+00:00,0,True,True,0,active,,,2020-08-18 20:26:05,2020
43,1,14,51,0,True,False,51,2020-08-18 20:19:04+00:00,0,True,True,0,active,,,2020-08-18 20:26:05,2020
44,8,14,52,0,True,True,52,2020-08-18 20:25:45+00:00,0,True,True,1,active,,,2020-08-18 20:26:05,2020
45,1,18,53,0,True,False,53,2020-08-18 20:23:04+00:00,0,True,True,0,active,,,2020-08-18 20:26:05,2020
46,14,1,54,0,True,False,54,2020-08-18 19:47:57+00:00,0,True,True,0,active,,,2020-08-18 20:26:05,2020
47,2,13,55,0,True,False,55,2020-08-18 20:25:19+00:00,0,True,True,0,active,,,2020-08-18 20:26:05,2020
48,8,9,56,0,True,False,56,2020-08-18 20:24:15+00:00,0,True,True,1,active,,,2020-08-18 20:26:05,2020
49,0,14,57,0,True,True,57,2020-08-18 20:12:50+00:00,0,True,True,0,active,,,2020-08-18 20:26:05,2020
50,6,11,58,0,True,True,58,2020-08-18 20:14:07+00:00,0,True,True,2,active,,,2020-08-18 20:26:05,2020
