,num_docks_disabled,num_bikes_available,station_status,num_ebikes_available,legacy_id,num_bikes_disabled,is_installed,last_reported,is_renting,station_id,num_docks_available,eightd_has_available_keys,is_returning,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
149,0,0,active,0,175,0,True,2020-08-10 21:04:08+00:00,True,175,17,True,True,,,2020-08-10 21:36:55,2020
150,0,12,active,0,176,0,True,2020-08-10 21:34:21+00:00,True,176,3,False,True,,,2020-08-10 21:36:55,2020
151,0,1,active,0,177,0,True,2020-08-10 21:36:00+00:00,True,177,18,False,True,,,2020-08-10 21:36:55,2020
152,0,13,active,0,178,0,True,2020-08-10 21:31:00+00:00,True,178,6,False,True,,,2020-08-10 21:36:55,2020
153,0,7,active,0,179,0,True,2020-08-10 21:34:37+00:00,True,179,18,False,True,,,2020-08-10 21:36:55,2020
154,0,17,active,0,180,0,True,2020-08-10 20:29:42+00:00,True,180,2,False,True,,,2020-08-10 21:36:55,2020
155,0,5,active,0,181,0,True,2020-08-10 21:33:39+00:00,True,181,14,False,True,,,2020-08-10 21:36:55,2020
156,0,4,active,0,182,0,True,2020-08-10 21:06:10+00:00,True,182,15,True,True,,,2020-08-10 21:36:55,2020
157,0,1,active,0,183,0,True,2020-08-10 21:32:32+00:00,True,183,18,False,True,,,2020-08-10 21:36:55,2020
158,0,1,active,0,184,1,True,2020-08-10 21:36:41+00:00,True,184,17,False,True,,,2020-08-10 21:36:55,2020
159,0,2,active,0,185,1,True,2020-08-10 21:03:30+00:00,True,185,12,False,True,,,2020-08-10 21:36:55,2020
160,0,12,active,0,186,2,True,2020-08-10 21:36:20+00:00,True,186,1,True,True,,,2020-08-10 21:36:55,2020
161,0,9,active,0,187,0,True,2020-08-10 21:04:10+00:00,True,187,6,False,True,,,2020-08-10 21:36:55,2020
162,0,7,active,0,188,0,True,2020-08-10 21:27:11+00:00,True,188,8,False,True,,,2020-08-10 21:36:55,2020
163,0,10,active,0,189,0,True,2020-08-10 21:33:36+00:00,True,189,13,True,True,,,2020-08-10 21:36:55,2020
164,0,15,active,0,190,1,True,2020-08-10 21:18:22+00:00,True,190,21,True,True,,,2020-08-10 21:36:55,2020
165,0,1,active,0,191,0,True,2020-08-10 21:13:31+00:00,True,191,14,False,True,,,2020-08-10 21:36:55,2020
166,0,6,active,0,192,0,True,2020-08-10 21:31:50+00:00,True,192,13,False,True,,,2020-08-10 21:36:55,2020
167,0,9,active,0,193,0,True,2020-08-10 21:25:37+00:00,True,193,6,True,True,,,2020-08-10 21:36:55,2020
168,0,2,active,0,194,0,True,2020-08-10 21:18:17+00:00,True,194,17,False,True,,,2020-08-10 21:36:55,2020
169,0,9,active,0,195,1,True,2020-08-10 21:29:11+00:00,True,195,13,False,True,,,2020-08-10 21:36:55,2020
170,0,2,active,0,196,0,True,2020-08-10 20:49:32+00:00,True,196,8,True,True,,,2020-08-10 21:36:55,2020
171,0,0,active,0,197,0,True,2020-08-10 20:26:28+00:00,True,197,15,False,True,,,2020-08-10 21:36:55,2020
172,0,1,active,0,199,0,True,2020-08-10 20:37:22+00:00,True,199,14,False,True,,,2020-08-10 21:36:55,2020
173,0,8,active,0,200,2,True,2020-08-10 21:28:41+00:00,True,200,9,False,True,,,2020-08-10 21:36:55,2020
174,0,2,active,0,201,0,True,2020-08-10 18:33:21+00:00,True,201,13,False,True,,,2020-08-10 21:36:55,2020
175,0,5,active,0,202,0,True,2020-08-10 14:34:46+00:00,True,202,10,False,True,,,2020-08-10 21:36:55,2020
176,0,2,active,0,203,1,True,2020-08-10 08:40:54+00:00,True,203,12,False,True,,,2020-08-10 21:36:55,2020
177,0,2,active,0,204,0,True,2020-08-10 20:22:41+00:00,True,204,13,False,True,,,2020-08-10 21:36:55,2020
178,0,2,active,0,205,0,True,2020-08-10 21:33:12+00:00,True,205,13,False,True,,,2020-08-10 21:36:55,2020
179,0,9,active,0,206,0,True,2020-08-10 21:29:55+00:00,True,206,14,True,True,,,2020-08-10 21:36:55,2020
180,0,2,active,0,208,0,True,2020-08-10 21:12:10+00:00,True,208,13,True,True,,,2020-08-10 21:36:55,2020
181,0,9,active,0,209,0,True,2020-08-10 21:01:28+00:00,True,209,6,False,True,,,2020-08-10 21:36:55,2020
182,0,1,active,0,210,0,True,2020-08-10 20:59:09+00:00,True,210,14,False,True,,,2020-08-10 21:36:55,2020
183,0,11,active,0,211,0,True,2020-08-10 21:07:12+00:00,True,211,8,False,True,,,2020-08-10 21:36:55,2020
184,0,24,active,0,212,1,True,2020-08-10 20:47:52+00:00,True,212,8,False,True,,,2020-08-10 21:36:55,2020
185,0,4,active,0,213,0,True,2020-08-10 19:26:49+00:00,True,213,12,True,True,,,2020-08-10 21:36:55,2020
186,0,5,active,0,214,0,True,2020-08-10 20:03:14+00:00,True,214,10,False,True,,,2020-08-10 21:36:55,2020
187,0,8,active,0,215,0,True,2020-08-10 08:51:06+00:00,True,215,7,False,True,,,2020-08-10 21:36:55,2020
188,0,16,active,0,216,1,True,2020-08-10 08:50:27+00:00,True,216,2,False,True,,,2020-08-10 21:36:55,2020
189,0,9,active,0,217,0,True,2020-08-10 21:23:13+00:00,True,217,10,False,True,,,2020-08-10 21:36:55,2020
190,0,3,active,0,218,2,True,2020-08-10 21:29:08+00:00,True,218,10,False,True,,,2020-08-10 21:36:55,2020
191,0,5,active,0,219,0,True,2020-08-10 20:16:26+00:00,True,219,10,False,True,,,2020-08-10 21:36:55,2020
192,0,2,active,0,221,0,True,2020-08-10 21:13:02+00:00,True,221,17,False,True,,,2020-08-10 21:36:55,2020
193,0,6,active,0,222,0,True,2020-08-10 21:32:59+00:00,True,222,8,True,True,,,2020-08-10 21:36:55,2020
194,0,10,active,0,224,0,True,2020-08-10 21:27:09+00:00,True,224,7,False,True,,,2020-08-10 21:36:55,2020
195,0,5,active,0,225,0,True,2020-08-10 21:21:43+00:00,True,225,14,False,True,,,2020-08-10 21:36:55,2020
196,0,1,active,0,226,0,True,2020-08-10 21:20:38+00:00,True,226,14,False,True,,,2020-08-10 21:36:55,2020
197,0,13,active,0,227,0,True,2020-08-10 21:27:49+00:00,True,227,6,False,True,,,2020-08-10 21:36:55,2020
198,0,4,active,0,228,0,True,2020-08-10 20:38:06+00:00,True,228,15,False,True,,,2020-08-10 21:36:55,2020
199,0,7,active,0,232,0,True,2020-08-10 20:26:30+00:00,True,232,4,False,True,,,2020-08-10 21:36:55,2020
200,0,7,active,0,233,2,True,2020-08-10 21:14:15+00:00,True,233,6,False,True,,,2020-08-10 21:36:55,2020
201,0,1,active,0,234,0,True,2020-08-10 21:16:01+00:00,True,234,14,False,True,,,2020-08-10 21:36:55,2020
202,0,5,active,0,235,0,True,2020-08-10 20:46:12+00:00,True,235,10,False,True,,,2020-08-10 21:36:55,2020
203,0,13,active,0,236,0,True,2020-08-10 21:33:30+00:00,True,236,2,False,True,,,2020-08-10 21:36:55,2020
204,0,0,active,0,239,0,True,2020-08-10 21:29:36+00:00,True,239,15,False,True,,,2020-08-10 21:36:55,2020
205,0,10,active,0,255,0,True,2020-08-10 21:07:16+00:00,True,255,5,False,True,,,2020-08-10 21:36:55,2020
206,0,5,active,0,258,1,True,2020-08-10 20:36:30+00:00,True,258,9,False,True,,,2020-08-10 21:36:55,2020
207,0,14,active,0,259,0,True,2020-08-09 16:59:55+00:00,True,259,1,False,True,,,2020-08-10 21:36:55,2020
208,0,13,active,0,260,0,True,2020-08-10 20:36:05+00:00,True,260,2,False,True,,,2020-08-10 21:36:55,2020
209,0,5,active,0,271,0,True,2020-08-10 21:32:18+00:00,True,271,10,False,True,,,2020-08-10 21:36:55,2020
210,0,8,active,0,272,1,True,2020-08-10 20:23:42+00:00,True,272,10,False,True,,,2020-08-10 21:36:55,2020
211,0,21,active,0,273,5,True,2020-08-10 21:35:41+00:00,True,273,14,False,True,,,2020-08-10 21:36:55,2020
212,0,19,active,0,279,0,True,2020-08-10 20:13:16+00:00,True,279,0,False,True,,,2020-08-10 21:36:55,2020
213,0,7,active,0,280,0,True,2020-08-10 21:25:06+00:00,True,280,12,False,True,,,2020-08-10 21:36:55,2020
214,0,4,active,0,282,2,True,2020-08-10 21:29:14+00:00,True,282,9,False,True,,,2020-08-10 21:36:55,2020
215,0,11,active,0,296,1,True,2020-08-10 21:30:38+00:00,True,296,11,False,True,,,2020-08-10 21:36:55,2020
216,0,10,active,0,318,0,True,2020-08-10 21:24:56+00:00,True,318,9,False,True,,,2020-08-10 21:36:55,2020
217,0,5,active,0,319,0,True,2020-08-10 20:59:43+00:00,True,319,20,False,True,,,2020-08-10 21:36:55,2020
218,0,14,active,0,327,0,True,2020-08-10 21:33:27+00:00,True,327,1,False,True,,,2020-08-10 21:36:55,2020
219,0,7,active,0,328,0,True,2020-08-10 21:16:02+00:00,True,328,8,False,True,,,2020-08-10 21:36:55,2020
220,0,4,active,0,329,0,True,2020-08-10 21:31:38+00:00,True,329,11,False,True,,,2020-08-10 21:36:55,2020
221,0,8,active,0,330,0,True,2020-08-10 21:30:34+00:00,True,330,7,False,True,,,2020-08-10 21:36:55,2020
222,0,6,active,0,331,0,True,2020-08-10 21:32:19+00:00,True,331,9,False,True,,,2020-08-10 21:36:55,2020
223,0,4,active,0,332,0,True,2020-08-10 21:25:39+00:00,True,332,11,False,True,,,2020-08-10 21:36:55,2020
224,0,21,active,0,333,0,True,2020-08-10 21:36:47+00:00,True,333,4,False,True,,,2020-08-10 21:36:55,2020
225,0,17,active,0,334,0,True,2020-08-10 21:11:31+00:00,True,334,2,False,True,,,2020-08-10 21:36:55,2020
226,0,18,active,0,335,0,True,2020-08-10 21:32:35+00:00,True,335,1,False,True,,,2020-08-10 21:36:55,2020
227,0,11,active,0,336,2,True,2020-08-10 21:34:40+00:00,True,336,2,False,True,,,2020-08-10 21:36:55,2020
228,0,11,active,0,337,0,True,2020-08-10 19:59:12+00:00,True,337,4,False,True,,,2020-08-10 21:36:55,2020
229,0,1,active,0,338,0,True,2020-08-10 21:31:49+00:00,True,338,14,False,True,,,2020-08-10 21:36:55,2020
230,0,7,active,0,339,0,True,2020-08-10 15:22:34+00:00,True,339,8,False,True,,,2020-08-10 21:36:55,2020
231,0,18,active,0,340,0,True,2020-08-10 11:22:16+00:00,True,340,1,False,True,,,2020-08-10 21:36:55,2020
232,0,3,active,0,341,0,True,2020-08-10 18:47:06+00:00,True,341,12,True,True,,,2020-08-10 21:36:55,2020
233,0,3,active,0,342,0,True,2020-08-10 21:34:14+00:00,True,342,12,False,True,,,2020-08-10 21:36:55,2020
234,0,6,active,0,343,0,True,2020-08-10 04:41:14+00:00,True,343,9,False,True,,,2020-08-10 21:36:55,2020
235,0,2,active,0,344,0,True,2020-08-10 19:49:33+00:00,True,344,17,False,True,,,2020-08-10 21:36:55,2020
236,0,15,active,0,345,2,True,2020-08-10 21:01:05+00:00,True,345,2,False,True,,,2020-08-10 21:36:55,2020
237,0,1,active,0,346,0,True,2020-08-10 21:32:21+00:00,True,346,14,False,True,,,2020-08-10 21:36:55,2020
238,0,12,active,0,347,0,True,2020-08-10 18:56:34+00:00,True,347,3,False,True,,,2020-08-10 21:36:55,2020
239,0,5,active,0,348,1,True,2020-08-10 08:46:32+00:00,True,348,9,False,True,,,2020-08-10 21:36:55,2020
240,0,6,active,0,349,0,True,2020-08-10 19:42:03+00:00,True,349,11,True,True,,,2020-08-10 21:36:55,2020
241,0,13,active,0,350,0,True,2020-08-10 19:23:29+00:00,True,350,4,False,True,,,2020-08-10 21:36:55,2020
242,0,8,active,0,351,0,True,2020-08-10 20:11:27+00:00,True,351,7,False,True,,,2020-08-10 21:36:55,2020
243,0,6,active,0,352,0,True,2020-08-10 21:13:19+00:00,True,352,9,False,True,,,2020-08-10 21:36:55,2020
244,0,5,active,0,353,0,True,2020-08-10 15:45:32+00:00,True,353,10,True,True,,,2020-08-10 21:36:55,2020
245,0,0,active,0,354,1,True,2020-08-10 21:20:03+00:00,True,354,14,False,True,,,2020-08-10 21:36:55,2020
246,0,16,active,0,355,0,True,2020-08-10 21:33:12+00:00,True,355,1,False,True,,,2020-08-10 21:36:55,2020
247,0,9,active,0,356,0,True,2020-08-10 21:36:35+00:00,True,356,14,False,True,,,2020-08-10 21:36:55,2020
248,0,3,active,0,357,0,True,2020-08-10 21:22:42+00:00,True,357,12,False,True,,,2020-08-10 21:36:55,2020
249,0,8,active,0,358,0,True,2020-08-10 21:26:31+00:00,True,358,11,False,True,,,2020-08-10 21:36:55,2020
250,0,3,active,0,359,0,True,2020-08-10 21:36:41+00:00,True,359,12,False,True,,,2020-08-10 21:36:55,2020
251,0,10,active,0,360,0,True,2020-08-10 21:18:48+00:00,True,360,5,False,True,,,2020-08-10 21:36:55,2020
252,0,19,active,0,361,0,True,2020-08-10 21:02:47+00:00,True,361,0,False,True,,,2020-08-10 21:36:55,2020
253,0,8,active,0,362,0,True,2020-08-10 19:07:02+00:00,True,362,11,False,True,,,2020-08-10 21:36:55,2020
254,0,9,active,0,363,1,True,2020-08-10 21:34:12+00:00,True,363,9,False,True,,,2020-08-10 21:36:55,2020
255,0,10,active,0,364,0,True,2020-08-10 21:30:34+00:00,True,364,9,False,True,,,2020-08-10 21:36:55,2020
256,0,3,active,0,365,2,True,2020-08-10 21:21:30+00:00,True,365,14,False,True,,,2020-08-10 21:36:55,2020
257,0,15,active,0,366,0,True,2020-08-10 21:27:25+00:00,True,366,0,False,True,,,2020-08-10 21:36:55,2020
258,0,15,active,0,367,0,True,2020-08-10 20:27:23+00:00,True,367,4,False,True,,,2020-08-10 21:36:55,2020
259,0,7,active,0,368,1,True,2020-08-10 14:37:06+00:00,True,368,7,False,True,,,2020-08-10 21:36:55,2020
