,is_installed,is_renting,is_returning,legacy_id,station_id,num_bikes_available,station_status,num_ebikes_available,num_docks_disabled,num_bikes_disabled,num_docks_available,eightd_has_available_keys,last_reported,timestamp_of_data_read_request,year_station_last_reported
0,True,True,True,3,3,1,active,0,0,0,14,False,2020-08-21 00:33:40+00:00,2020-08-21 01:36:15,2020
1,True,True,True,4,4,13,active,0,0,0,6,False,2020-08-21 00:24:25+00:00,2020-08-21 01:36:15,2020
2,True,True,True,5,5,5,active,0,0,0,10,False,2020-08-21 01:31:30+00:00,2020-08-21 01:36:15,2020
3,True,True,True,6,6,4,active,0,0,0,11,False,2020-08-21 01:24:33+00:00,2020-08-21 01:36:15,2020
4,True,True,True,7,7,5,active,0,0,0,10,False,2020-08-21 01:13:15+00:00,2020-08-21 01:36:15,2020
5,True,True,True,8,8,15,active,0,0,1,3,False,2020-08-21 01:25:55+00:00,2020-08-21 01:36:15,2020
6,True,True,True,9,9,14,active,0,0,0,1,False,2020-08-21 01:03:03+00:00,2020-08-21 01:36:15,2020
7,True,True,True,10,10,0,active,0,0,0,11,False,2020-08-20 23:27:55+00:00,2020-08-21 01:36:15,2020
8,True,True,True,11,11,0,active,0,0,0,15,False,2020-08-21 01:09:47+00:00,2020-08-21 01:36:15,2020
9,True,True,True,12,12,9,active,0,0,0,9,True,2020-08-21 01:24:42+00:00,2020-08-21 01:36:15,2020
10,True,True,True,13,13,0,active,0,0,0,19,False,2020-08-20 23:41:45+00:00,2020-08-21 01:36:15,2020
11,True,True,True,14,14,0,active,0,0,0,25,False,2020-08-21 00:43:18+00:00,2020-08-21 01:36:15,2020
12,True,True,True,15,15,13,active,0,0,0,2,False,2020-08-21 00:34:03+00:00,2020-08-21 01:36:15,2020
13,True,True,True,16,16,8,active,0,0,0,11,True,2020-08-21 00:52:05+00:00,2020-08-21 01:36:15,2020
14,True,True,True,17,17,4,active,0,0,0,11,False,2020-08-21 00:49:05+00:00,2020-08-21 01:36:15,2020
15,True,True,True,19,19,0,active,0,0,0,15,False,2020-08-21 01:13:19+00:00,2020-08-21 01:36:15,2020
16,True,True,True,20,20,15,active,0,0,0,8,True,2020-08-21 01:30:15+00:00,2020-08-21 01:36:15,2020
17,True,True,True,21,21,12,active,0,0,0,6,True,2020-08-21 00:38:48+00:00,2020-08-21 01:36:15,2020
18,True,True,True,22,22,1,active,0,0,0,46,True,2020-08-21 01:12:23+00:00,2020-08-21 01:36:15,2020
19,True,True,True,23,23,1,active,0,0,0,20,False,2020-08-20 23:46:58+00:00,2020-08-21 01:36:15,2020
20,True,True,True,24,24,18,active,0,0,1,0,False,2020-08-21 01:20:55+00:00,2020-08-21 01:36:15,2020
21,True,True,True,25,25,8,active,0,0,0,7,False,2020-08-21 01:00:31+00:00,2020-08-21 01:36:15,2020
22,True,True,True,26,26,12,active,0,0,0,3,False,2020-08-21 01:02:32+00:00,2020-08-21 01:36:15,2020
23,True,True,True,27,27,12,active,0,0,4,7,False,2020-08-21 01:10:48+00:00,2020-08-21 01:36:15,2020
24,True,True,True,29,29,3,active,0,0,1,11,False,2020-08-20 23:03:32+00:00,2020-08-21 01:36:15,2020
25,True,True,True,30,30,6,active,0,0,0,9,False,2020-08-21 01:15:08+00:00,2020-08-21 01:36:15,2020
26,True,True,True,31,31,6,active,0,0,0,13,True,2020-08-21 01:03:11+00:00,2020-08-21 01:36:15,2020
27,True,True,True,32,32,0,active,0,0,0,15,False,2020-08-21 01:12:21+00:00,2020-08-21 01:36:15,2020
28,True,True,True,33,33,13,active,0,0,1,13,False,2020-08-21 01:29:47+00:00,2020-08-21 01:36:15,2020
29,True,True,True,35,35,5,active,0,0,0,18,False,2020-08-21 00:24:32+00:00,2020-08-21 01:36:15,2020
30,True,True,True,36,36,14,active,0,0,0,19,True,2020-08-21 01:34:34+00:00,2020-08-21 01:36:15,2020
31,True,True,True,37,37,10,active,0,0,0,5,True,2020-08-21 01:18:36+00:00,2020-08-21 01:36:15,2020
32,True,True,True,39,39,8,active,0,0,0,15,False,2020-08-21 01:04:52+00:00,2020-08-21 01:36:15,2020
33,True,True,True,40,40,16,active,0,0,0,3,False,2020-08-21 00:58:57+00:00,2020-08-21 01:36:15,2020
34,True,True,True,41,41,20,active,0,0,1,6,True,2020-08-21 01:32:22+00:00,2020-08-21 01:36:15,2020
35,True,True,True,42,42,5,active,0,0,1,17,False,2020-08-21 01:27:58+00:00,2020-08-21 01:36:15,2020
36,True,True,True,43,43,6,active,0,0,0,9,True,2020-08-21 00:04:22+00:00,2020-08-21 01:36:15,2020
37,True,True,True,44,44,9,active,0,0,0,14,False,2020-08-21 01:15:26+00:00,2020-08-21 01:36:15,2020
38,True,True,True,46,46,8,active,0,0,1,10,False,2020-08-21 01:35:39+00:00,2020-08-21 01:36:15,2020
39,True,True,True,47,47,13,active,0,0,0,6,True,2020-08-21 01:26:58+00:00,2020-08-21 01:36:15,2020
40,True,True,True,48,48,4,active,0,0,1,14,False,2020-08-21 00:59:06+00:00,2020-08-21 01:36:15,2020
41,True,True,True,49,49,14,active,0,0,0,4,False,2020-08-21 01:34:50+00:00,2020-08-21 01:36:15,2020
42,True,True,True,50,50,7,active,0,0,1,7,True,2020-08-21 00:17:08+00:00,2020-08-21 01:36:15,2020
43,True,True,True,51,51,12,active,0,0,0,3,False,2020-08-21 01:22:59+00:00,2020-08-21 01:36:15,2020
44,True,True,True,52,52,2,active,0,0,0,21,True,2020-08-21 01:34:30+00:00,2020-08-21 01:36:15,2020
45,True,True,True,53,53,11,active,0,0,0,8,False,2020-08-21 01:29:11+00:00,2020-08-21 01:36:15,2020
46,True,True,True,54,54,2,active,0,0,0,13,False,2020-08-21 01:10:52+00:00,2020-08-21 01:36:15,2020
47,True,True,True,55,55,12,active,0,0,0,3,False,2020-08-21 01:28:38+00:00,2020-08-21 01:36:15,2020
48,True,True,True,56,56,5,active,0,0,0,13,False,2020-08-21 00:38:37+00:00,2020-08-21 01:36:15,2020
49,True,True,True,57,57,8,active,0,0,0,6,True,2020-08-21 01:07:34+00:00,2020-08-21 01:36:15,2020
50,True,True,True,58,58,0,active,0,0,1,18,True,2020-08-21 01:35:17+00:00,2020-08-21 01:36:15,2020
51,True,True,True,59,59,7,active,0,0,0,12,True,2020-08-21 01:00:35+00:00,2020-08-21 01:36:15,2020
52,True,True,True,60,60,9,active,0,0,0,10,False,2020-08-21 01:34:26+00:00,2020-08-21 01:36:15,2020
53,True,True,True,61,61,12,active,0,0,0,7,False,2020-08-21 01:32:16+00:00,2020-08-21 01:36:15,2020
54,True,True,True,63,63,6,active,0,0,0,9,False,2020-08-21 01:18:58+00:00,2020-08-21 01:36:15,2020
55,True,False,False,64,64,13,active,0,0,0,6,False,2020-08-20 23:52:06+00:00,2020-08-21 01:36:15,2020
56,True,True,True,65,65,1,active,0,0,0,22,False,2020-08-20 23:30:18+00:00,2020-08-21 01:36:15,2020
57,True,True,True,66,66,14,active,0,0,0,1,False,2020-08-21 01:08:04+00:00,2020-08-21 01:36:15,2020
58,True,True,True,67,67,5,active,0,0,0,22,True,2020-08-21 01:32:34+00:00,2020-08-21 01:36:15,2020
59,True,True,True,68,68,12,active,0,0,1,6,True,2020-08-21 01:33:26+00:00,2020-08-21 01:36:15,2020
60,True,True,True,69,69,15,active,0,0,0,4,True,2020-08-21 01:30:56+00:00,2020-08-21 01:36:15,2020
61,True,True,True,70,70,9,active,0,0,1,13,False,2020-08-21 01:34:37+00:00,2020-08-21 01:36:15,2020
62,True,True,True,71,71,16,active,0,0,1,6,False,2020-08-21 00:41:07+00:00,2020-08-21 01:36:15,2020
63,True,True,True,72,72,0,active,0,0,0,23,False,2020-08-21 00:12:13+00:00,2020-08-21 01:36:15,2020
64,True,True,True,73,73,6,active,0,0,0,9,False,2020-08-21 01:35:29+00:00,2020-08-21 01:36:15,2020
65,True,True,True,74,74,14,active,0,0,2,3,True,2020-08-21 01:27:13+00:00,2020-08-21 01:36:15,2020
