,num_docks_available,station_id,station_status,num_bikes_disabled,num_docks_disabled,is_returning,last_reported,eightd_has_available_keys,is_installed,legacy_id,is_renting,num_ebikes_available,num_bikes_available,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
0,11,3,active,2,0,True,2020-07-30 02:33:20+00:00,True,True,3,True,0,2,,,2020-07-30 02:35:05,2020
1,4,4,active,1,0,True,2020-07-30 02:34:55+00:00,False,True,4,True,0,14,,,2020-07-30 02:35:05,2020
2,7,5,active,0,0,True,2020-07-30 02:31:36+00:00,False,True,5,True,0,8,,,2020-07-30 02:35:05,2020
3,6,6,active,0,0,True,2020-07-30 02:33:41+00:00,False,True,6,True,0,9,,,2020-07-30 02:35:05,2020
4,6,7,active,1,0,True,2020-07-30 02:06:32+00:00,False,True,7,True,0,8,,,2020-07-30 02:35:05,2020
5,4,8,active,2,0,True,2020-07-30 02:00:10+00:00,False,True,8,True,0,13,,,2020-07-30 02:35:05,2020
6,11,9,active,1,0,True,2020-07-30 02:25:22+00:00,False,True,9,True,0,3,,,2020-07-30 02:35:05,2020
7,11,10,active,0,0,True,2020-07-30 00:54:27+00:00,False,True,10,True,0,0,,,2020-07-30 02:35:05,2020
8,14,11,active,1,0,True,2020-07-30 02:29:13+00:00,False,True,11,True,0,0,[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],"{'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0', 'off_dock_capacity': 50, 'off_dock_count': 12, 'valet_revision': 69, 'dock_blocked_count': 0, 'active': True, 'region': 'BOS'}",2020-07-30 02:35:05,2020
9,12,12,active,1,0,True,2020-07-30 02:30:39+00:00,True,True,12,True,0,5,,,2020-07-30 02:35:05,2020
10,19,13,active,0,0,True,2020-07-30 01:11:35+00:00,False,True,13,True,0,0,,,2020-07-30 02:35:05,2020
11,25,14,active,0,0,True,2020-07-30 02:20:48+00:00,False,True,14,True,0,0,,,2020-07-30 02:35:05,2020
12,5,15,active,0,0,True,2020-07-30 01:53:00+00:00,False,True,15,True,0,10,,,2020-07-30 02:35:05,2020
13,15,16,active,2,0,True,2020-07-30 01:06:31+00:00,True,True,16,True,0,2,,,2020-07-30 02:35:05,2020
14,4,17,active,0,0,True,2020-07-30 01:58:53+00:00,False,True,17,True,0,11,,,2020-07-30 02:35:05,2020
15,9,19,active,0,0,True,2020-07-30 01:24:28+00:00,False,True,19,True,0,6,,,2020-07-30 02:35:05,2020
