,is_returning,num_bikes_available,station_id,num_bikes_disabled,is_installed,num_docks_disabled,station_status,is_renting,num_docks_available,legacy_id,last_reported,eightd_has_available_keys,num_ebikes_available,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
138,True,4,159,0,True,0,active,True,11,159,2020-08-14 00:19:22+00:00,False,0,,,2020-08-14 00:52:45,2020
139,True,8,160,0,True,0,active,True,6,160,2020-08-14 00:15:25+00:00,True,0,,,2020-08-14 00:52:45,2020
140,True,9,161,2,True,0,active,True,12,161,2020-08-14 00:40:58+00:00,True,0,,,2020-08-14 00:52:45,2020
141,True,2,162,0,True,0,active,True,13,162,2020-08-14 00:05:05+00:00,False,0,,,2020-08-14 00:52:45,2020
142,True,10,163,0,True,0,active,True,9,163,2020-08-14 00:17:42+00:00,True,0,,,2020-08-14 00:52:45,2020
143,True,3,167,0,True,0,active,True,12,167,2020-08-14 00:43:08+00:00,False,0,,,2020-08-14 00:52:45,2020
144,True,5,169,0,True,0,active,True,14,169,2020-08-14 00:46:44+00:00,False,0,,,2020-08-14 00:52:45,2020
145,True,7,170,0,True,0,active,True,7,170,2020-08-14 00:30:30+00:00,True,0,,,2020-08-14 00:52:45,2020
146,True,12,171,0,True,0,active,True,11,171,2020-08-13 23:47:49+00:00,True,0,,,2020-08-14 00:52:45,2020
147,True,12,173,0,True,0,active,True,2,173,2020-08-14 00:11:05+00:00,True,0,,,2020-08-14 00:52:45,2020
148,True,3,174,2,True,0,active,True,10,174,2020-08-14 00:37:02+00:00,False,0,,,2020-08-14 00:52:45,2020
149,True,10,175,2,True,0,active,True,5,175,2020-08-14 00:46:48+00:00,True,0,,,2020-08-14 00:52:45,2020
150,True,11,176,0,True,0,active,True,4,176,2020-08-14 00:33:30+00:00,False,0,,,2020-08-14 00:52:45,2020
151,True,4,177,0,True,0,active,True,15,177,2020-08-14 00:41:16+00:00,False,0,,,2020-08-14 00:52:45,2020
152,True,3,178,0,True,0,active,True,16,178,2020-08-14 00:52:15+00:00,False,0,,,2020-08-14 00:52:45,2020
153,True,12,179,0,True,0,active,True,13,179,2020-08-14 00:48:10+00:00,False,0,,,2020-08-14 00:52:45,2020
154,True,7,180,0,True,0,active,True,12,180,2020-08-14 00:52:09+00:00,False,0,,,2020-08-14 00:52:45,2020
155,True,12,181,0,True,0,active,True,7,181,2020-08-14 00:22:00+00:00,False,0,,,2020-08-14 00:52:45,2020
156,True,6,182,0,True,0,active,True,13,182,2020-08-14 00:51:12+00:00,True,0,,,2020-08-14 00:52:45,2020
157,True,3,183,1,True,0,active,True,15,183,2020-08-14 00:10:29+00:00,False,0,,,2020-08-14 00:52:45,2020
158,True,4,184,0,True,0,active,True,15,184,2020-08-14 00:45:22+00:00,False,0,,,2020-08-14 00:52:45,2020
159,True,9,185,0,True,0,active,True,6,185,2020-08-14 00:45:29+00:00,False,0,,,2020-08-14 00:52:45,2020
160,True,15,186,0,True,0,active,True,0,186,2020-08-14 00:10:28+00:00,True,0,,,2020-08-14 00:52:45,2020
161,True,6,187,0,True,0,active,True,9,187,2020-08-14 00:26:24+00:00,False,0,,,2020-08-14 00:52:45,2020
162,True,12,188,1,True,0,active,True,2,188,2020-08-14 00:09:47+00:00,False,0,,,2020-08-14 00:52:45,2020
163,True,0,189,0,True,0,active,True,23,189,2020-08-14 00:18:55+00:00,True,0,,,2020-08-14 00:52:45,2020
164,True,16,190,1,True,0,active,True,20,190,2020-08-14 00:49:59+00:00,True,0,,,2020-08-14 00:52:45,2020
165,True,4,191,0,True,0,active,True,11,191,2020-08-14 00:22:33+00:00,False,0,,,2020-08-14 00:52:45,2020
166,True,0,192,0,True,0,active,True,19,192,2020-08-13 23:56:49+00:00,False,0,,,2020-08-14 00:52:45,2020
167,True,10,193,1,True,0,active,True,4,193,2020-08-14 00:49:35+00:00,True,0,,,2020-08-14 00:52:45,2020
168,True,5,194,0,True,0,active,True,14,194,2020-08-13 23:26:51+00:00,False,0,,,2020-08-14 00:52:45,2020
169,True,3,195,1,True,0,active,True,19,195,2020-08-14 00:52:23+00:00,False,0,,,2020-08-14 00:52:45,2020
170,True,0,196,1,True,0,active,True,9,196,2020-08-13 22:31:42+00:00,True,0,,,2020-08-14 00:52:45,2020
171,True,3,197,1,True,0,active,True,11,197,2020-08-13 23:59:03+00:00,False,0,,,2020-08-14 00:52:45,2020
172,True,6,199,0,True,0,active,True,9,199,2020-08-13 23:52:47+00:00,False,0,,,2020-08-14 00:52:45,2020
173,True,11,200,0,True,0,active,True,8,200,2020-08-14 00:00:36+00:00,False,0,,,2020-08-14 00:52:45,2020
174,True,10,201,0,True,0,active,True,5,201,2020-08-14 00:14:03+00:00,False,0,,,2020-08-14 00:52:45,2020
175,True,1,202,0,True,0,active,True,14,202,2020-08-13 20:38:42+00:00,False,0,,,2020-08-14 00:52:45,2020
176,True,0,203,0,True,0,active,True,15,203,2020-08-13 14:09:27+00:00,False,0,,,2020-08-14 00:52:45,2020
177,True,1,204,1,True,0,active,True,13,204,2020-08-13 23:23:03+00:00,False,0,,,2020-08-14 00:52:45,2020
178,True,2,205,0,True,0,active,True,13,205,2020-08-13 21:21:34+00:00,False,0,,,2020-08-14 00:52:45,2020
179,True,3,206,1,True,0,active,True,19,206,2020-08-13 23:52:23+00:00,True,0,,,2020-08-14 00:52:45,2020
180,True,10,208,0,True,0,active,True,5,208,2020-08-14 00:41:20+00:00,True,0,,,2020-08-14 00:52:45,2020
181,True,8,209,0,True,0,active,True,7,209,2020-08-13 22:18:03+00:00,False,0,,,2020-08-14 00:52:45,2020
182,True,4,210,0,True,0,active,True,11,210,2020-08-14 00:34:46+00:00,False,0,,,2020-08-14 00:52:45,2020
183,True,8,211,0,True,0,active,True,11,211,2020-08-14 00:26:57+00:00,False,0,,,2020-08-14 00:52:45,2020
184,True,14,212,0,True,0,active,True,19,212,2020-08-14 00:47:13+00:00,False,0,,,2020-08-14 00:52:45,2020
185,True,5,213,0,True,0,active,True,11,213,2020-08-14 00:14:05+00:00,True,0,,,2020-08-14 00:52:45,2020
186,True,7,214,0,True,0,active,True,8,214,2020-08-14 00:31:01+00:00,False,0,,,2020-08-14 00:52:45,2020
187,True,5,215,0,True,0,active,True,10,215,2020-08-13 23:26:48+00:00,False,0,,,2020-08-14 00:52:45,2020
188,True,18,216,1,True,0,active,True,0,216,2020-08-13 22:08:51+00:00,False,0,,,2020-08-14 00:52:45,2020
