,station_id,is_renting,num_ebikes_available,num_bikes_disabled,eightd_has_available_keys,last_reported,eightd_active_station_services,num_docks_disabled,is_returning,legacy_id,is_installed,num_bikes_available,num_docks_available,station_status,valet,timestamp_of_data_read_request,year_station_last_reported
47,54,True,0,1,False,2020-08-03 14:43:28+00:00,,0,True,54,True,6,8,active,,2020-08-03 15:11:55,2020
48,55,True,0,0,False,2020-08-03 14:51:33+00:00,,0,True,55,True,0,15,active,,2020-08-03 15:11:55,2020
49,56,True,0,0,True,2020-08-03 14:20:43+00:00,,0,True,56,True,9,9,active,,2020-08-03 15:11:55,2020
50,57,True,0,0,True,2020-08-03 14:50:18+00:00,,0,True,57,True,1,13,active,,2020-08-03 15:11:55,2020
51,58,True,0,0,True,2020-08-03 15:04:06+00:00,,0,True,58,True,9,10,active,,2020-08-03 15:11:55,2020
52,59,True,0,0,True,2020-08-03 15:00:42+00:00,,0,True,59,True,11,8,active,,2020-08-03 15:11:55,2020
53,60,True,0,0,False,2020-08-03 14:53:30+00:00,[{'id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0'}],0,True,60,True,4,15,active,"{'off_dock_capacity': 40, 'station_id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0', 'off_dock_count': 37, 'active': True, 'dock_blocked_count': 0, 'valet_revision': 65, 'region': 'BOS'}",2020-08-03 15:11:55,2020
54,61,True,0,0,False,2020-08-03 15:09:53+00:00,,0,True,61,True,12,7,active,,2020-08-03 15:11:55,2020
55,63,True,0,0,False,2020-08-03 00:49:30+00:00,,0,True,63,True,1,14,active,,2020-08-03 15:11:55,2020
56,64,True,0,0,False,2020-08-03 15:06:00+00:00,,0,True,64,True,18,1,active,,2020-08-03 15:11:55,2020
57,65,True,0,0,False,2020-08-03 12:13:51+00:00,,0,True,65,True,13,10,active,,2020-08-03 15:11:55,2020
58,66,True,0,1,False,2020-08-03 13:38:11+00:00,,0,True,66,True,0,14,active,,2020-08-03 15:11:55,2020
59,67,True,0,0,False,2020-08-03 14:51:24+00:00,,0,True,67,True,6,21,active,,2020-08-03 15:11:55,2020
60,68,True,0,0,True,2020-08-03 15:08:52+00:00,,0,True,68,True,3,16,active,,2020-08-03 15:11:55,2020
61,69,True,0,0,True,2020-08-03 14:50:46+00:00,,0,True,69,True,2,17,active,,2020-08-03 15:11:55,2020
62,70,True,0,2,False,2020-08-03 14:43:50+00:00,,0,True,70,True,17,4,active,,2020-08-03 15:11:55,2020
