,last_reported,station_status,is_installed,station_id,legacy_id,num_docks_disabled,num_bikes_available,eightd_has_available_keys,is_renting,num_ebikes_available,is_returning,num_docks_available,num_bikes_disabled,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
41,2020-07-29 19:06:11+00:00,active,True,49,49,0,10,False,True,0,True,8,0,,,2020-07-29 19:16:00,2020
42,2020-07-29 18:59:45+00:00,active,True,50,50,0,12,True,True,0,True,2,1,,,2020-07-29 19:16:00,2020
43,2020-07-29 19:08:54+00:00,active,True,51,51,0,6,False,True,0,True,6,3,,,2020-07-29 19:16:00,2020
44,2020-07-29 19:09:17+00:00,active,True,52,52,0,4,True,True,0,True,19,0,,,2020-07-29 19:16:00,2020
45,2020-07-29 19:08:43+00:00,active,True,53,53,0,3,False,True,0,True,16,0,,,2020-07-29 19:16:00,2020
46,2020-07-29 19:11:55+00:00,active,True,54,54,0,6,False,True,0,True,9,0,,,2020-07-29 19:16:00,2020
47,2020-07-29 19:12:46+00:00,active,True,55,55,0,4,False,True,0,True,11,0,,,2020-07-29 19:16:00,2020
48,2020-07-29 18:31:43+00:00,active,True,56,56,0,12,True,True,0,True,6,0,,,2020-07-29 19:16:00,2020
49,2020-07-29 19:12:01+00:00,active,True,57,57,0,1,True,True,0,True,13,0,,,2020-07-29 19:16:00,2020
50,2020-07-29 19:13:46+00:00,active,True,58,58,0,5,True,True,0,True,13,1,,,2020-07-29 19:16:00,2020
51,2020-07-29 19:12:13+00:00,active,True,59,59,0,6,True,True,0,True,13,0,,,2020-07-29 19:16:00,2020
52,2020-07-29 19:10:39+00:00,active,True,60,60,0,5,False,True,0,True,14,0,[{'id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0'}],"{'station_id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0', 'off_dock_capacity': 40, 'region': 'BOS', 'active': True, 'dock_blocked_count': 0, 'valet_revision': 61, 'off_dock_count': 28}",2020-07-29 19:16:00,2020
53,2020-07-29 19:07:07+00:00,active,True,61,61,0,12,False,True,0,True,6,1,,,2020-07-29 19:16:00,2020
54,2020-07-29 18:02:50+00:00,active,True,63,63,0,13,False,True,0,True,2,0,,,2020-07-29 19:16:00,2020
55,2020-07-29 18:43:11+00:00,active,True,64,64,0,16,False,True,0,True,2,1,,,2020-07-29 19:16:00,2020
56,2020-07-29 18:03:19+00:00,active,True,65,65,0,9,False,True,0,True,13,1,,,2020-07-29 19:16:00,2020
57,2020-07-29 19:06:47+00:00,active,True,66,66,0,1,False,True,0,True,14,0,,,2020-07-29 19:16:00,2020
58,2020-07-29 19:08:06+00:00,active,True,67,67,0,8,True,True,0,True,17,2,,,2020-07-29 19:16:00,2020
59,2020-07-29 19:15:37+00:00,active,True,68,68,0,5,True,True,0,True,13,1,,,2020-07-29 19:16:00,2020
60,2020-07-29 19:15:04+00:00,active,True,69,69,0,0,True,True,0,True,18,1,,,2020-07-29 19:16:00,2020
61,2020-07-29 18:03:07+00:00,active,True,70,70,0,4,False,True,0,True,19,0,,,2020-07-29 19:16:00,2020
62,2020-07-29 19:04:11+00:00,active,True,71,71,0,15,False,True,0,True,8,0,,,2020-07-29 19:16:00,2020
63,2020-07-29 18:48:18+00:00,active,True,72,72,0,12,False,True,0,True,11,0,,,2020-07-29 19:16:00,2020
