,legacy_id,num_ebikes_available,num_docks_disabled,is_installed,is_returning,last_reported,num_bikes_available,station_status,num_bikes_disabled,eightd_has_available_keys,station_id,num_docks_available,is_renting,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
41,49,0,0,True,True,2020-07-28 23:02:05+00:00,0,active,1,False,49,17,True,,,2020-07-28 23:05:10,2020
42,50,0,0,True,True,2020-07-28 23:00:00+00:00,3,active,0,True,50,12,True,,,2020-07-28 23:05:10,2020
43,51,0,0,True,True,2020-07-28 22:51:22+00:00,6,active,2,False,51,7,True,,,2020-07-28 23:05:10,2020
44,52,0,0,True,True,2020-07-28 22:48:19+00:00,17,active,3,True,52,3,True,,,2020-07-28 23:05:10,2020
45,53,0,0,True,True,2020-07-28 22:57:54+00:00,17,active,0,False,53,2,True,,,2020-07-28 23:05:10,2020
46,54,0,0,True,True,2020-07-28 23:02:36+00:00,11,active,0,False,54,4,True,,,2020-07-28 23:05:10,2020
47,55,0,0,True,True,2020-07-28 23:04:46+00:00,10,active,0,False,55,5,True,,,2020-07-28 23:05:10,2020
48,56,0,0,True,True,2020-07-28 23:04:00+00:00,15,active,0,True,56,3,True,,,2020-07-28 23:05:10,2020
49,57,0,0,True,True,2020-07-28 22:45:56+00:00,2,active,0,True,57,12,True,,,2020-07-28 23:05:10,2020
50,58,0,0,True,True,2020-07-28 23:01:47+00:00,8,active,0,True,58,11,True,,,2020-07-28 23:05:10,2020
51,59,0,0,True,True,2020-07-28 22:47:50+00:00,2,active,0,True,59,17,True,,,2020-07-28 23:05:10,2020
52,60,0,0,True,True,2020-07-28 23:01:30+00:00,13,active,0,False,60,6,True,,,2020-07-28 23:05:10,2020
53,61,0,0,True,True,2020-07-28 22:58:59+00:00,8,active,0,False,61,11,True,,,2020-07-28 23:05:10,2020
54,63,0,0,True,True,2020-07-28 21:25:34+00:00,15,active,0,False,63,0,True,,,2020-07-28 23:05:10,2020
55,64,0,0,True,True,2020-07-28 22:58:54+00:00,5,active,0,False,64,14,True,,,2020-07-28 23:05:10,2020
56,65,0,0,True,True,2020-07-28 22:29:07+00:00,9,active,1,False,65,13,True,,,2020-07-28 23:05:10,2020
57,66,0,0,True,True,2020-07-28 23:00:20+00:00,0,active,0,False,66,15,True,,,2020-07-28 23:05:10,2020
58,67,0,0,True,True,2020-07-28 23:04:30+00:00,16,active,3,True,67,8,True,,,2020-07-28 23:05:10,2020
59,68,0,0,True,True,2020-07-28 23:04:53+00:00,7,active,0,True,68,12,True,,,2020-07-28 23:05:10,2020
60,69,0,0,True,True,2020-07-28 22:54:17+00:00,9,active,2,True,69,8,True,,,2020-07-28 23:05:10,2020
61,70,0,0,True,True,2020-07-28 23:04:25+00:00,12,active,0,False,70,11,True,,,2020-07-28 23:05:10,2020
62,71,0,0,True,True,2020-07-28 22:29:54+00:00,15,active,0,False,71,8,True,,,2020-07-28 23:05:10,2020
63,72,0,0,True,True,2020-07-28 22:41:25+00:00,15,active,0,False,72,8,True,,,2020-07-28 23:05:10,2020
64,73,0,0,True,True,2020-07-28 22:41:48+00:00,15,active,0,False,73,0,True,,,2020-07-28 23:05:10,2020
65,74,0,0,True,True,2020-07-28 23:03:32+00:00,5,active,0,True,74,14,True,,,2020-07-28 23:05:10,2020
66,75,0,0,True,True,2020-07-28 23:04:51+00:00,5,active,2,False,75,8,True,,,2020-07-28 23:05:10,2020
