,last_reported,station_status,is_installed,station_id,legacy_id,num_docks_disabled,num_bikes_available,eightd_has_available_keys,is_renting,num_ebikes_available,is_returning,num_docks_available,num_bikes_disabled,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
0,2020-07-29 18:16:18+00:00,active,True,3,3,0,6,True,True,0,True,9,0,,,2020-07-29 18:35:10,2020
1,2020-07-29 18:24:12+00:00,active,True,4,4,0,9,False,True,0,True,10,0,,,2020-07-29 18:35:10,2020
2,2020-07-29 18:18:22+00:00,active,True,5,5,0,7,False,True,0,True,8,0,,,2020-07-29 18:35:10,2020
3,2020-07-29 18:15:34+00:00,active,True,6,6,0,12,False,True,0,True,3,0,,,2020-07-29 18:35:10,2020
4,2020-07-29 18:19:18+00:00,active,True,7,7,0,5,False,True,0,True,10,0,,,2020-07-29 18:35:10,2020
5,2020-07-29 18:32:52+00:00,active,True,8,8,0,4,False,True,0,True,14,1,,,2020-07-29 18:35:10,2020
6,2020-07-29 18:31:11+00:00,active,True,9,9,0,4,False,True,0,True,9,2,,,2020-07-29 18:35:10,2020
7,2020-07-29 18:25:29+00:00,active,True,10,10,0,4,False,True,0,True,6,1,,,2020-07-29 18:35:10,2020
8,2020-07-29 18:30:46+00:00,active,True,11,11,0,13,False,True,0,True,0,2,[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],"{'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0', 'off_dock_capacity': 50, 'region': 'BOS', 'active': True, 'dock_blocked_count': 0, 'valet_revision': 69, 'off_dock_count': 50}",2020-07-29 18:35:10,2020
9,2020-07-29 18:21:11+00:00,active,True,12,12,0,9,True,True,0,True,8,1,,,2020-07-29 18:35:10,2020
10,2020-07-29 18:14:02+00:00,active,True,13,13,0,12,False,True,0,True,7,0,,,2020-07-29 18:35:10,2020
11,2020-07-29 18:27:15+00:00,active,True,14,14,0,19,False,True,0,True,6,0,,,2020-07-29 18:35:10,2020
12,2020-07-29 18:31:18+00:00,active,True,15,15,0,9,False,True,0,True,6,0,,,2020-07-29 18:35:10,2020
13,2020-07-29 18:21:41+00:00,active,True,16,16,0,7,True,True,0,True,11,1,,,2020-07-29 18:35:10,2020
14,2020-07-29 18:08:58+00:00,active,True,17,17,0,14,False,True,0,True,1,0,,,2020-07-29 18:35:10,2020
