,last_reported,station_status,num_bikes_available,num_ebikes_available,num_bikes_disabled,station_id,num_docks_available,is_renting,eightd_has_available_keys,legacy_id,is_returning,is_installed,num_docks_disabled,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
0,2020-08-20 15:49:27+00:00,active,11,0,0,3,4,True,False,3,True,True,0,,,2020-08-20 15:53:35,2020
1,2020-08-20 15:51:11+00:00,active,5,0,0,4,14,True,False,4,True,True,0,,,2020-08-20 15:53:35,2020
2,2020-08-20 15:36:56+00:00,active,3,0,1,5,11,True,False,5,True,True,0,,,2020-08-20 15:53:35,2020
3,2020-08-20 15:52:39+00:00,active,6,0,1,6,8,True,False,6,True,True,0,,,2020-08-20 15:53:35,2020
4,2020-08-20 13:48:45+00:00,active,9,0,0,7,6,True,False,7,True,True,0,,,2020-08-20 15:53:35,2020
5,2020-08-20 15:52:19+00:00,active,8,0,1,8,10,True,False,8,True,True,0,,,2020-08-20 15:53:35,2020
6,2020-08-20 15:48:19+00:00,active,9,0,0,9,6,True,False,9,True,True,0,,,2020-08-20 15:53:35,2020
7,2020-08-20 15:22:01+00:00,active,8,0,0,10,3,True,False,10,True,True,0,,,2020-08-20 15:53:35,2020
8,2020-08-20 15:19:40+00:00,active,15,0,0,11,0,True,False,11,True,True,0,[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],"{'valet_revision': 96, 'off_dock_capacity': 50, 'region': 'BOS', 'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0', 'off_dock_count': 51, 'dock_blocked_count': 0, 'active': True}",2020-08-20 15:53:35,2020
9,2020-08-20 15:39:54+00:00,active,16,0,1,12,1,True,True,12,True,True,0,,,2020-08-20 15:53:35,2020
10,2020-08-20 15:52:54+00:00,active,13,0,0,13,6,True,False,13,True,True,0,,,2020-08-20 15:53:35,2020
11,2020-08-20 15:50:52+00:00,active,20,0,0,14,5,True,False,14,True,True,0,,,2020-08-20 15:53:35,2020
12,2020-08-20 14:27:40+00:00,active,10,0,0,15,5,True,False,15,True,True,0,,,2020-08-20 15:53:35,2020
13,2020-08-20 15:39:33+00:00,active,4,0,0,16,15,True,True,16,True,True,0,,,2020-08-20 15:53:35,2020
14,2020-08-20 15:16:16+00:00,active,6,0,1,17,8,True,False,17,True,True,0,,,2020-08-20 15:53:35,2020
15,2020-08-20 15:44:13+00:00,active,5,0,0,19,10,True,False,19,True,True,0,,,2020-08-20 15:53:35,2020
16,2020-08-20 15:53:03+00:00,active,7,0,0,20,16,True,True,20,True,True,0,,,2020-08-20 15:53:35,2020
17,2020-08-20 15:32:06+00:00,active,8,0,0,21,10,True,True,21,True,True,0,,,2020-08-20 15:53:35,2020
18,2020-08-20 15:44:57+00:00,active,20,0,1,22,26,True,True,22,True,True,0,,,2020-08-20 15:53:35,2020
19,2020-08-20 15:52:43+00:00,active,18,0,0,23,3,True,False,23,True,True,0,,,2020-08-20 15:53:35,2020
20,2020-08-20 15:43:50+00:00,active,10,0,2,24,7,True,False,24,True,True,0,,,2020-08-20 15:53:35,2020
21,2020-08-20 15:47:26+00:00,active,9,0,0,25,6,True,False,25,True,True,0,,,2020-08-20 15:53:35,2020
22,2020-08-20 15:46:15+00:00,active,9,0,1,26,5,True,False,26,True,True,0,,,2020-08-20 15:53:35,2020
23,2020-08-20 15:46:55+00:00,active,15,0,0,27,8,True,False,27,True,True,0,,,2020-08-20 15:53:35,2020
24,2020-08-20 13:39:01+00:00,active,4,0,1,29,10,True,False,29,True,True,0,,,2020-08-20 15:53:35,2020
25,2020-08-20 15:45:11+00:00,active,15,0,0,30,0,True,False,30,True,True,0,,,2020-08-20 15:53:35,2020
26,2020-08-20 15:51:24+00:00,active,1,0,0,31,18,True,True,31,True,True,0,,,2020-08-20 15:53:35,2020
27,2020-08-20 15:29:14+00:00,active,11,0,1,32,3,True,False,32,True,True,0,,,2020-08-20 15:53:35,2020
28,2020-08-20 15:34:54+00:00,active,20,0,0,33,7,True,False,33,True,True,0,,,2020-08-20 15:53:35,2020
29,2020-08-20 15:52:20+00:00,active,14,0,1,35,8,True,False,35,True,True,0,,,2020-08-20 15:53:35,2020
30,2020-08-20 15:41:47+00:00,active,17,0,2,36,14,True,True,36,True,True,0,,,2020-08-20 15:53:35,2020
31,2020-08-20 15:33:47+00:00,active,11,0,0,37,4,True,True,37,True,True,0,,,2020-08-20 15:53:35,2020
32,2020-08-20 15:41:25+00:00,active,8,0,0,39,15,True,False,39,True,True,0,,,2020-08-20 15:53:35,2020
33,2020-08-20 15:47:08+00:00,active,2,0,0,40,17,True,False,40,True,True,0,,,2020-08-20 15:53:35,2020
34,2020-08-20 15:27:45+00:00,active,11,0,1,41,15,True,True,41,True,True,0,,,2020-08-20 15:53:35,2020
35,2020-08-20 15:25:00+00:00,active,14,0,1,42,8,True,False,42,True,True,0,,,2020-08-20 15:53:35,2020
36,2020-08-20 14:49:08+00:00,active,12,0,0,43,3,True,True,43,True,True,0,,,2020-08-20 15:53:35,2020
37,2020-08-20 15:24:46+00:00,active,14,0,0,44,9,True,False,44,True,True,0,,,2020-08-20 15:53:35,2020
38,2020-08-20 15:53:11+00:00,active,2,0,0,46,17,True,False,46,True,True,0,,,2020-08-20 15:53:35,2020
39,2020-08-20 15:51:11+00:00,active,1,0,0,47,18,True,True,47,True,True,0,,,2020-08-20 15:53:35,2020
40,2020-08-20 15:27:04+00:00,active,15,0,0,48,4,True,False,48,True,True,0,,,2020-08-20 15:53:35,2020
41,2020-08-20 15:40:12+00:00,active,16,0,0,49,2,True,False,49,True,True,0,,,2020-08-20 15:53:35,2020
42,2020-08-20 15:36:36+00:00,active,4,0,1,50,10,True,True,50,True,True,0,,,2020-08-20 15:53:35,2020
43,2020-08-20 15:46:26+00:00,active,9,0,1,51,5,True,False,51,True,True,0,,,2020-08-20 15:53:35,2020
44,2020-08-20 15:45:26+00:00,active,2,0,0,52,21,True,True,52,True,True,0,,,2020-08-20 15:53:35,2020
45,2020-08-20 15:52:42+00:00,active,6,0,0,53,13,True,False,53,True,True,0,,,2020-08-20 15:53:35,2020
46,2020-08-20 15:46:26+00:00,active,5,0,0,54,10,True,False,54,True,True,0,,,2020-08-20 15:53:35,2020
47,2020-08-20 15:40:11+00:00,active,0,0,1,55,14,True,False,55,True,True,0,,,2020-08-20 15:53:35,2020
48,2020-08-20 10:42:24+00:00,active,7,0,0,56,11,True,False,56,True,True,0,,,2020-08-20 15:53:35,2020
49,2020-08-20 15:38:49+00:00,active,2,0,0,57,12,True,True,57,True,True,0,,,2020-08-20 15:53:35,2020
50,2020-08-20 15:39:17+00:00,active,2,0,1,58,16,True,True,58,True,True,0,,,2020-08-20 15:53:35,2020
51,2020-08-20 15:15:39+00:00,active,13,0,0,59,6,True,True,59,True,True,0,,,2020-08-20 15:53:35,2020
52,2020-08-20 15:48:32+00:00,active,3,0,0,60,16,True,False,60,True,True,0,[{'id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0'}],"{'valet_revision': 85, 'off_dock_capacity': 40, 'region': 'BOS', 'station_id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0', 'off_dock_count': 33, 'dock_blocked_count': 0, 'active': True}",2020-08-20 15:53:35,2020
53,2020-08-20 15:51:13+00:00,active,4,0,0,61,15,True,False,61,True,True,0,,,2020-08-20 15:53:35,2020
54,2020-08-20 14:37:31+00:00,active,5,0,0,63,10,True,False,63,True,True,0,,,2020-08-20 15:53:35,2020
55,2020-08-20 15:48:47+00:00,active,16,0,0,64,3,True,False,64,True,True,0,,,2020-08-20 15:53:35,2020
56,2020-08-20 12:51:35+00:00,active,6,0,0,65,17,True,False,65,True,True,0,,,2020-08-20 15:53:35,2020
57,2020-08-20 15:47:12+00:00,active,9,0,0,66,6,True,False,66,True,True,0,,,2020-08-20 15:53:35,2020
58,2020-08-20 15:48:23+00:00,active,17,0,0,67,10,True,True,67,True,True,0,,,2020-08-20 15:53:35,2020
59,2020-08-20 15:41:19+00:00,active,16,0,1,68,2,True,True,68,True,True,0,,,2020-08-20 15:53:35,2020
60,2020-08-20 15:49:18+00:00,active,9,0,0,69,10,True,True,69,True,True,0,,,2020-08-20 15:53:35,2020
61,2020-08-20 15:41:21+00:00,active,22,0,0,70,1,True,False,70,True,True,0,,,2020-08-20 15:53:35,2020
62,2020-08-20 13:15:13+00:00,active,20,0,0,71,3,True,False,71,True,True,0,,,2020-08-20 15:53:35,2020
63,2020-08-20 15:39:41+00:00,active,16,0,1,72,6,True,False,72,True,True,0,,,2020-08-20 15:53:35,2020
64,2020-08-20 15:51:07+00:00,active,3,0,0,73,12,True,False,73,True,True,0,,,2020-08-20 15:53:35,2020
65,2020-08-20 15:49:32+00:00,active,0,0,1,74,18,True,True,74,True,True,0,,,2020-08-20 15:53:35,2020
66,2020-08-20 15:33:15+00:00,active,6,0,0,75,9,True,False,75,True,True,0,,,2020-08-20 15:53:35,2020
67,2020-08-20 15:46:07+00:00,active,2,0,1,76,14,True,False,76,True,True,0,,,2020-08-20 15:53:35,2020
68,2020-08-20 15:14:41+00:00,active,0,0,0,77,15,True,False,77,True,True,0,,,2020-08-20 15:53:35,2020
69,2020-08-20 15:37:52+00:00,active,12,0,1,78,6,True,False,78,True,True,0,,,2020-08-20 15:53:35,2020
