,num_docks_available,num_docks_disabled,num_bikes_disabled,is_renting,is_installed,last_reported,eightd_has_available_keys,legacy_id,station_id,num_ebikes_available,num_bikes_available,is_returning,station_status,timestamp_of_data_read_request,year_station_last_reported
0,4,0,1,True,True,2020-08-12 17:56:29+00:00,False,3,3,0,10,True,active,2020-08-12 18:04:00,2020
1,11,0,0,True,True,2020-08-12 17:53:19+00:00,False,4,4,0,8,True,active,2020-08-12 18:04:00,2020
2,7,0,0,True,True,2020-08-12 18:01:51+00:00,False,5,5,0,8,True,active,2020-08-12 18:04:00,2020
3,4,0,2,True,True,2020-08-12 18:03:55+00:00,False,6,6,0,9,True,active,2020-08-12 18:04:00,2020
4,9,0,0,True,True,2020-08-12 15:11:36+00:00,False,7,7,0,6,True,active,2020-08-12 18:04:00,2020
5,11,0,0,True,True,2020-08-12 18:01:17+00:00,False,8,8,0,8,True,active,2020-08-12 18:04:00,2020
6,7,0,1,True,True,2020-08-12 17:59:26+00:00,False,9,9,0,7,True,active,2020-08-12 18:04:00,2020
7,3,0,0,True,True,2020-08-12 16:31:41+00:00,False,10,10,0,8,True,active,2020-08-12 18:04:00,2020
8,0,0,1,True,True,2020-08-12 17:34:57+00:00,False,11,11,0,14,True,active,2020-08-12 18:04:00,2020
9,1,0,0,True,True,2020-08-12 17:42:17+00:00,True,12,12,0,17,True,active,2020-08-12 18:04:00,2020
10,9,0,0,True,True,2020-08-12 17:53:51+00:00,False,13,13,0,10,True,active,2020-08-12 18:04:00,2020
11,5,0,0,True,True,2020-08-12 18:00:21+00:00,False,14,14,0,20,True,active,2020-08-12 18:04:00,2020
12,6,0,0,True,True,2020-08-12 17:38:40+00:00,False,15,15,0,9,True,active,2020-08-12 18:04:00,2020
13,19,0,0,True,True,2020-08-12 17:41:09+00:00,True,16,16,0,0,True,active,2020-08-12 18:04:00,2020
14,12,0,1,True,True,2020-08-12 17:44:07+00:00,False,17,17,0,2,True,active,2020-08-12 18:04:00,2020
15,12,0,0,True,True,2020-08-12 17:41:21+00:00,False,19,19,0,3,True,active,2020-08-12 18:04:00,2020
16,11,0,0,True,True,2020-08-12 16:41:37+00:00,True,20,20,0,12,True,active,2020-08-12 18:04:00,2020
17,5,0,0,True,True,2020-08-12 17:57:56+00:00,True,21,21,0,13,True,active,2020-08-12 18:04:00,2020
18,34,0,0,True,True,2020-08-12 17:22:24+00:00,True,22,22,0,13,True,active,2020-08-12 18:04:00,2020
19,2,0,0,True,True,2020-08-12 18:02:37+00:00,False,23,23,0,19,True,active,2020-08-12 18:04:00,2020
20,8,0,1,True,True,2020-08-12 16:46:34+00:00,False,24,24,0,10,True,active,2020-08-12 18:04:00,2020
21,13,0,0,True,True,2020-08-12 17:31:37+00:00,False,25,25,0,2,True,active,2020-08-12 18:04:00,2020
22,1,0,0,True,True,2020-08-12 17:51:51+00:00,False,26,26,0,14,True,active,2020-08-12 18:04:00,2020
23,8,0,1,True,True,2020-08-12 17:50:41+00:00,False,27,27,0,14,True,active,2020-08-12 18:04:00,2020
24,4,0,0,True,True,2020-08-12 17:50:54+00:00,False,29,29,0,11,True,active,2020-08-12 18:04:00,2020
25,0,0,0,True,True,2020-08-12 16:41:39+00:00,False,30,30,0,15,True,active,2020-08-12 18:04:00,2020
26,14,0,0,True,True,2020-08-12 15:52:50+00:00,True,31,31,0,5,True,active,2020-08-12 18:04:00,2020
27,6,0,0,True,True,2020-08-12 17:52:52+00:00,False,32,32,0,9,True,active,2020-08-12 18:04:00,2020
28,19,0,0,True,True,2020-08-12 17:40:23+00:00,False,33,33,0,8,True,active,2020-08-12 18:04:00,2020
29,3,0,0,True,True,2020-08-12 17:58:04+00:00,False,35,35,0,20,True,active,2020-08-12 18:04:00,2020
30,23,0,0,True,True,2020-08-12 17:58:10+00:00,True,36,36,0,10,True,active,2020-08-12 18:04:00,2020
31,14,0,0,True,True,2020-08-12 14:30:01+00:00,True,37,37,0,1,True,active,2020-08-12 18:04:00,2020
32,9,0,2,True,True,2020-08-12 17:56:20+00:00,False,39,39,0,12,True,active,2020-08-12 18:04:00,2020
33,9,0,1,True,True,2020-08-12 17:39:49+00:00,False,40,40,0,9,True,active,2020-08-12 18:04:00,2020
34,12,0,0,True,True,2020-08-12 18:03:23+00:00,True,41,41,0,15,True,active,2020-08-12 18:04:00,2020
35,8,0,0,True,True,2020-08-12 17:56:48+00:00,False,42,42,0,15,True,active,2020-08-12 18:04:00,2020
36,1,0,0,True,True,2020-08-12 17:50:09+00:00,True,43,43,0,14,True,active,2020-08-12 18:04:00,2020
37,15,0,0,True,True,2020-08-12 18:02:27+00:00,False,44,44,0,8,True,active,2020-08-12 18:04:00,2020
38,13,0,0,True,True,2020-08-12 17:47:40+00:00,False,46,46,0,6,True,active,2020-08-12 18:04:00,2020
39,13,0,0,True,True,2020-08-12 17:59:48+00:00,True,47,47,0,6,True,active,2020-08-12 18:04:00,2020
40,1,0,0,True,True,2020-08-12 17:53:23+00:00,False,48,48,0,18,True,active,2020-08-12 18:04:00,2020
41,4,0,0,True,True,2020-08-12 17:46:59+00:00,False,49,49,0,14,True,active,2020-08-12 18:04:00,2020
42,0,0,0,True,True,2020-08-12 16:52:43+00:00,True,50,50,0,15,True,active,2020-08-12 18:04:00,2020
43,8,0,0,True,True,2020-08-12 15:01:34+00:00,False,51,51,0,7,True,active,2020-08-12 18:04:00,2020
44,12,0,0,True,True,2020-08-12 17:57:19+00:00,True,52,52,0,11,True,active,2020-08-12 18:04:00,2020
45,9,0,0,True,True,2020-08-12 17:52:57+00:00,False,53,53,0,10,True,active,2020-08-12 18:04:00,2020
46,14,0,0,True,True,2020-08-12 16:00:11+00:00,False,54,54,0,1,True,active,2020-08-12 18:04:00,2020
47,11,0,0,True,True,2020-08-12 18:02:32+00:00,False,55,55,0,4,True,active,2020-08-12 18:04:00,2020
48,10,0,1,True,True,2020-08-12 17:21:14+00:00,True,56,56,0,7,True,active,2020-08-12 18:04:00,2020
49,4,0,0,True,True,2020-08-12 17:55:29+00:00,True,57,57,0,10,True,active,2020-08-12 18:04:00,2020
50,7,0,2,True,True,2020-08-12 17:43:06+00:00,True,58,58,0,10,True,active,2020-08-12 18:04:00,2020
51,14,0,0,True,True,2020-08-12 17:19:26+00:00,True,59,59,0,5,True,active,2020-08-12 18:04:00,2020
52,9,0,0,True,True,2020-08-12 18:02:43+00:00,False,60,60,0,10,True,active,2020-08-12 18:04:00,2020
53,2,0,2,True,True,2020-08-12 17:57:25+00:00,False,61,61,0,15,True,active,2020-08-12 18:04:00,2020
54,14,0,0,True,True,2020-08-12 16:24:47+00:00,False,63,63,0,1,True,active,2020-08-12 18:04:00,2020
55,13,0,0,True,True,2020-08-12 17:50:56+00:00,False,64,64,0,6,True,active,2020-08-12 18:04:00,2020
56,21,0,0,True,True,2020-08-12 11:53:40+00:00,False,65,65,0,2,True,active,2020-08-12 18:04:00,2020
57,15,0,0,True,True,2020-08-12 15:35:54+00:00,False,66,66,0,0,True,active,2020-08-12 18:04:00,2020
58,13,0,0,True,True,2020-08-12 17:37:58+00:00,True,67,67,0,14,True,active,2020-08-12 18:04:00,2020
59,8,0,0,True,True,2020-08-12 17:56:01+00:00,True,68,68,0,11,True,active,2020-08-12 18:04:00,2020
60,18,0,0,True,True,2020-08-12 17:58:28+00:00,True,69,69,0,1,True,active,2020-08-12 18:04:00,2020
