,station_id,is_renting,num_ebikes_available,num_bikes_disabled,eightd_has_available_keys,last_reported,eightd_active_station_services,num_docks_disabled,is_returning,valet,legacy_id,is_installed,num_bikes_available,num_docks_available,station_status,timestamp_of_data_read_request,year_station_last_reported
236,345,True,0,0,False,2020-08-02 15:53:50+00:00,,0,True,,345,True,10,9,active,2020-08-02 16:14:50,2020
237,346,True,0,0,False,2020-08-02 15:58:02+00:00,,0,True,,346,True,6,9,active,2020-08-02 16:14:50,2020
238,347,True,0,0,False,2020-08-02 08:57:51+00:00,,0,True,,347,True,2,13,active,2020-08-02 16:14:50,2020
239,348,True,0,1,False,2020-08-02 08:59:34+00:00,,0,True,,348,True,9,5,active,2020-08-02 16:14:50,2020
240,349,True,0,0,True,2020-08-02 08:54:03+00:00,,0,True,,349,True,11,6,active,2020-08-02 16:14:50,2020
241,350,True,0,0,False,2020-08-02 15:27:06+00:00,,0,True,,350,True,4,13,active,2020-08-02 16:14:50,2020
242,351,True,0,2,False,2020-08-02 13:58:23+00:00,,0,True,,351,True,3,10,active,2020-08-02 16:14:50,2020
243,352,True,0,0,False,2020-08-02 16:10:08+00:00,,0,True,,352,True,1,14,active,2020-08-02 16:14:50,2020
244,353,True,0,0,True,2020-08-02 16:03:14+00:00,,0,True,,353,True,7,8,active,2020-08-02 16:14:50,2020
245,354,True,0,1,False,2020-08-02 16:07:11+00:00,,0,True,,354,True,10,4,active,2020-08-02 16:14:50,2020
246,355,True,0,0,False,2020-08-02 15:44:38+00:00,,0,True,,355,True,3,14,active,2020-08-02 16:14:50,2020
247,356,True,0,0,False,2020-08-02 15:58:02+00:00,,0,True,,356,True,8,15,active,2020-08-02 16:14:50,2020
248,357,True,0,1,False,2020-08-02 14:58:37+00:00,,0,True,,357,True,10,4,active,2020-08-02 16:14:50,2020
249,358,True,0,0,False,2020-08-02 15:45:47+00:00,,0,True,,358,True,4,15,active,2020-08-02 16:14:50,2020
250,359,True,0,1,False,2020-08-02 15:38:24+00:00,,0,True,,359,True,2,12,active,2020-08-02 16:14:50,2020
251,360,True,0,0,False,2020-08-02 15:42:45+00:00,,0,True,,360,True,0,15,active,2020-08-02 16:14:50,2020
252,361,True,0,0,False,2020-08-02 15:35:44+00:00,,0,True,,361,True,2,17,active,2020-08-02 16:14:50,2020
253,362,True,0,0,False,2020-08-02 16:00:51+00:00,,0,True,,362,True,19,0,active,2020-08-02 16:14:50,2020
254,363,True,0,0,False,2020-08-02 16:10:04+00:00,,0,True,,363,True,1,18,active,2020-08-02 16:14:50,2020
255,364,True,0,1,False,2020-08-02 16:01:40+00:00,,0,True,,364,True,4,14,active,2020-08-02 16:14:50,2020
256,365,True,0,0,False,2020-08-02 15:04:16+00:00,,0,True,,365,True,7,12,active,2020-08-02 16:14:50,2020
257,366,True,0,0,False,2020-08-02 15:42:20+00:00,,0,True,,366,True,1,14,active,2020-08-02 16:14:50,2020
258,367,True,0,0,False,2020-08-02 15:29:45+00:00,,0,True,,367,True,17,2,active,2020-08-02 16:14:50,2020
259,368,True,0,2,False,2020-08-02 15:58:52+00:00,,0,True,,368,True,1,12,active,2020-08-02 16:14:50,2020
260,369,True,0,0,False,2020-08-02 16:09:15+00:00,,0,True,,369,True,2,13,active,2020-08-02 16:14:50,2020
