,num_docks_disabled,is_installed,legacy_id,num_bikes_available,num_bikes_disabled,station_status,last_reported,station_id,num_docks_available,num_ebikes_available,eightd_has_available_keys,is_returning,is_renting,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
0,0,True,3,10,1,active,2020-08-21 22:58:50+00:00,3,4,0,False,True,True,,,2020-08-21 23:00:25,2020
1,0,True,4,17,1,active,2020-08-21 22:53:16+00:00,4,1,0,False,True,True,,,2020-08-21 23:00:25,2020
2,0,True,5,3,0,active,2020-08-21 22:56:49+00:00,5,12,0,False,True,True,,,2020-08-21 23:00:25,2020
3,0,True,6,7,0,active,2020-08-21 22:57:38+00:00,6,8,0,False,True,True,,,2020-08-21 23:00:25,2020
4,0,True,7,10,0,active,2020-08-21 22:20:49+00:00,7,5,0,False,True,True,,,2020-08-21 23:00:25,2020
5,0,True,8,13,1,active,2020-08-21 22:58:29+00:00,8,5,0,False,True,True,,,2020-08-21 23:00:25,2020
6,0,True,9,7,1,active,2020-08-21 22:54:22+00:00,9,7,0,False,True,True,,,2020-08-21 23:00:25,2020
7,0,True,10,1,0,active,2020-08-21 22:51:30+00:00,10,10,0,False,True,True,,,2020-08-21 23:00:25,2020
8,0,True,11,0,2,active,2020-08-21 22:59:51+00:00,11,13,0,False,True,True,"{'off_dock_count': 3, 'region': 'BOS', 'dock_blocked_count': 0, 'valet_revision': 100, 'off_dock_capacity': 50, 'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0', 'active': True}",[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],2020-08-21 23:00:25,2020
9,0,True,12,2,0,active,2020-08-21 22:51:00+00:00,12,16,0,True,True,True,,,2020-08-21 23:00:25,2020
10,0,True,13,0,0,active,2020-08-21 22:38:41+00:00,13,19,0,False,True,True,,,2020-08-21 23:00:25,2020
11,0,True,14,0,2,active,2020-08-21 22:51:14+00:00,14,23,0,False,True,True,,,2020-08-21 23:00:25,2020
12,0,True,15,11,0,active,2020-08-21 22:56:08+00:00,15,4,0,False,True,True,,,2020-08-21 23:00:25,2020
13,0,True,16,13,1,active,2020-08-21 22:50:10+00:00,16,5,0,True,True,True,,,2020-08-21 23:00:25,2020
14,0,True,17,3,0,active,2020-08-21 22:45:26+00:00,17,12,0,False,True,True,,,2020-08-21 23:00:25,2020
15,0,True,19,1,0,active,2020-08-21 22:57:20+00:00,19,14,0,False,True,True,,,2020-08-21 23:00:25,2020
16,0,True,20,21,0,active,2020-08-21 22:52:14+00:00,20,2,0,True,True,True,,,2020-08-21 23:00:25,2020
17,0,True,21,13,1,active,2020-08-21 22:52:22+00:00,21,4,0,True,True,True,,,2020-08-21 23:00:25,2020
18,0,True,22,9,1,active,2020-08-21 22:31:30+00:00,22,37,0,True,True,True,,,2020-08-21 23:00:25,2020
19,0,True,23,17,0,active,2020-08-21 22:51:53+00:00,23,4,0,False,True,True,,,2020-08-21 23:00:25,2020
20,0,True,24,7,1,active,2020-08-21 22:54:17+00:00,24,11,0,False,True,True,,,2020-08-21 23:00:25,2020
21,0,True,25,3,0,active,2020-08-21 22:51:52+00:00,25,12,0,False,True,True,,,2020-08-21 23:00:25,2020
22,0,True,26,12,0,active,2020-08-21 22:54:13+00:00,26,3,0,False,True,True,,,2020-08-21 23:00:25,2020
23,0,True,27,5,0,active,2020-08-21 22:58:00+00:00,27,18,0,False,True,True,,,2020-08-21 23:00:25,2020
24,0,True,29,5,0,active,2020-08-21 22:46:39+00:00,29,10,0,False,True,True,,,2020-08-21 23:00:25,2020
25,0,True,30,1,2,active,2020-08-21 22:55:34+00:00,30,12,0,False,True,True,,,2020-08-21 23:00:25,2020
26,0,True,31,5,0,active,2020-08-21 22:54:11+00:00,31,14,0,True,True,True,,,2020-08-21 23:00:25,2020
27,0,True,32,7,1,active,2020-08-21 22:57:21+00:00,32,7,0,False,True,True,,,2020-08-21 23:00:25,2020
28,0,True,33,10,0,active,2020-08-21 22:44:17+00:00,33,17,0,True,True,True,,,2020-08-21 23:00:25,2020
29,0,True,35,0,0,active,2020-08-21 22:57:24+00:00,35,23,0,False,True,True,,,2020-08-21 23:00:25,2020
30,0,True,36,21,1,active,2020-08-21 22:05:29+00:00,36,11,0,True,True,True,,,2020-08-21 23:00:25,2020
31,0,True,37,5,0,active,2020-08-21 20:38:19+00:00,37,10,0,True,True,True,,,2020-08-21 23:00:25,2020
32,0,True,39,1,0,active,2020-08-21 22:59:22+00:00,39,22,0,False,True,True,,,2020-08-21 23:00:25,2020
33,0,True,40,14,0,active,2020-08-21 22:55:40+00:00,40,5,0,False,True,True,,,2020-08-21 23:00:25,2020
34,0,True,41,10,1,active,2020-08-21 22:45:08+00:00,41,16,0,True,True,True,,,2020-08-21 23:00:25,2020
35,0,True,42,11,0,active,2020-08-21 22:39:06+00:00,42,12,0,False,True,True,,,2020-08-21 23:00:25,2020
36,0,True,43,4,0,active,2020-08-21 22:41:29+00:00,43,11,0,True,True,True,,,2020-08-21 23:00:25,2020
37,0,True,44,11,0,active,2020-08-21 22:54:03+00:00,44,12,0,False,True,True,,,2020-08-21 23:00:25,2020
38,0,True,46,0,0,active,2020-08-21 22:51:13+00:00,46,19,0,False,True,True,,,2020-08-21 23:00:25,2020
39,0,True,47,17,0,active,2020-08-21 22:59:29+00:00,47,2,0,True,True,True,,,2020-08-21 23:00:25,2020
40,0,True,48,8,0,active,2020-08-21 22:46:58+00:00,48,11,0,False,True,True,,,2020-08-21 23:00:25,2020
41,0,True,49,14,1,active,2020-08-21 22:56:36+00:00,49,3,0,False,True,True,,,2020-08-21 23:00:25,2020
42,0,True,50,9,1,active,2020-08-21 22:57:17+00:00,50,5,0,True,True,True,,,2020-08-21 23:00:25,2020
43,0,True,51,1,1,active,2020-08-21 22:49:34+00:00,51,13,0,False,True,True,,,2020-08-21 23:00:25,2020
44,0,True,52,19,1,active,2020-08-21 23:00:10+00:00,52,3,0,True,True,True,,,2020-08-21 23:00:25,2020
45,0,True,53,18,0,active,2020-08-21 22:59:48+00:00,53,1,0,False,True,True,,,2020-08-21 23:00:25,2020
