,num_docks_disabled,num_bikes_available,legacy_id,station_status,is_installed,is_returning,is_renting,eightd_has_available_keys,num_ebikes_available,num_bikes_disabled,last_reported,num_docks_available,station_id,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
115,0,10,128,active,True,True,True,False,0,1,2020-07-28 18:42:19+00:00,8,128,,,2020-07-28 19:10:25,2020
116,0,7,129,active,True,True,True,False,0,0,2020-07-28 16:56:08+00:00,12,129,,,2020-07-28 19:10:25,2020
117,0,6,130,active,True,True,True,False,0,0,2020-07-28 17:28:30+00:00,9,130,,,2020-07-28 19:10:25,2020
118,0,12,131,active,True,True,True,False,0,1,2020-07-28 19:04:35+00:00,5,131,,,2020-07-28 19:10:25,2020
119,0,1,133,active,True,True,True,False,0,1,2020-07-28 15:18:49+00:00,21,133,,,2020-07-28 19:10:25,2020
120,0,7,135,active,True,True,True,False,0,1,2020-07-28 18:42:39+00:00,9,135,,,2020-07-28 19:10:25,2020
121,0,18,136,active,True,True,True,False,0,1,2020-07-28 18:00:55+00:00,0,136,,,2020-07-28 19:10:25,2020
122,0,2,137,active,True,True,True,False,0,0,2020-07-28 15:42:00+00:00,13,137,,,2020-07-28 19:10:25,2020
123,0,7,138,active,True,True,True,False,0,1,2020-07-28 18:20:10+00:00,7,138,,,2020-07-28 19:10:25,2020
124,0,3,139,active,True,True,True,False,0,1,2020-07-28 18:50:27+00:00,15,139,,,2020-07-28 19:10:25,2020
125,0,7,140,active,True,True,True,False,0,1,2020-07-28 18:51:17+00:00,9,140,,,2020-07-28 19:10:25,2020
126,0,8,141,active,True,True,True,False,0,1,2020-07-28 19:05:42+00:00,6,141,,,2020-07-28 19:10:25,2020
127,0,19,142,active,True,True,True,False,0,1,2020-07-28 18:31:53+00:00,3,142,,,2020-07-28 19:10:25,2020
128,0,6,143,active,True,True,True,False,0,0,2020-07-28 18:56:55+00:00,17,143,,,2020-07-28 19:10:25,2020
129,0,9,144,active,True,True,True,False,0,0,2020-07-28 13:10:27+00:00,10,144,,,2020-07-28 19:10:25,2020
130,0,3,145,active,True,True,True,False,0,0,2020-07-28 18:36:43+00:00,16,145,,,2020-07-28 19:10:25,2020
131,0,5,146,active,True,True,True,False,0,0,2020-07-28 18:26:54+00:00,14,146,,,2020-07-28 19:10:25,2020
132,0,0,149,active,True,True,True,True,0,0,2020-07-28 18:36:23+00:00,18,149,,,2020-07-28 19:10:25,2020
133,0,12,150,active,True,True,True,False,0,0,2020-07-28 18:15:42+00:00,7,150,,,2020-07-28 19:10:25,2020
134,0,11,151,active,True,True,True,False,0,0,2020-07-28 17:36:22+00:00,8,151,,,2020-07-28 19:10:25,2020
135,0,10,152,active,True,True,True,True,0,0,2020-07-28 18:24:38+00:00,5,152,,,2020-07-28 19:10:25,2020
136,0,5,156,active,True,True,True,False,0,0,2020-07-28 19:09:40+00:00,10,156,,,2020-07-28 19:10:25,2020
137,0,5,157,active,True,True,True,False,0,6,2020-07-28 18:34:34+00:00,4,157,,,2020-07-28 19:10:25,2020
138,0,2,159,active,True,True,True,False,0,1,2020-07-28 18:24:41+00:00,12,159,,,2020-07-28 19:10:25,2020
139,0,1,160,active,True,True,True,True,0,1,2020-07-28 16:24:05+00:00,12,160,,,2020-07-28 19:10:25,2020
140,0,14,161,active,True,True,True,True,0,2,2020-07-28 19:06:56+00:00,7,161,,,2020-07-28 19:10:25,2020
141,0,8,162,active,True,True,True,False,0,0,2020-07-28 17:42:29+00:00,7,162,,,2020-07-28 19:10:25,2020
142,0,6,163,active,True,True,True,True,0,0,2020-07-28 17:55:31+00:00,13,163,,,2020-07-28 19:10:25,2020
143,0,9,167,active,True,True,True,False,0,2,2020-07-28 17:59:09+00:00,4,167,,,2020-07-28 19:10:25,2020
144,0,9,169,active,True,True,True,False,0,1,2020-07-28 19:00:28+00:00,9,169,,,2020-07-28 19:10:25,2020
145,0,1,170,active,True,True,True,True,0,0,2020-07-28 17:46:22+00:00,13,170,,,2020-07-28 19:10:25,2020
146,0,1,171,active,True,True,True,True,0,1,2020-07-28 14:39:05+00:00,21,171,,,2020-07-28 19:10:25,2020
147,0,8,173,active,True,True,True,True,0,2,2020-07-28 17:15:48+00:00,4,173,,,2020-07-28 19:10:25,2020
148,0,8,174,active,True,True,True,False,0,0,2020-07-28 18:16:28+00:00,7,174,,,2020-07-28 19:10:25,2020
149,0,0,175,active,True,True,True,True,0,0,2020-07-28 16:02:59+00:00,17,175,,,2020-07-28 19:10:25,2020
150,0,15,176,active,True,True,True,False,0,0,2020-07-28 17:22:46+00:00,0,176,,,2020-07-28 19:10:25,2020
151,0,7,177,active,True,True,True,False,0,0,2020-07-28 18:33:37+00:00,12,177,,,2020-07-28 19:10:25,2020
152,0,1,178,active,True,True,True,False,0,1,2020-07-28 18:58:23+00:00,17,178,,,2020-07-28 19:10:25,2020
153,0,8,179,active,True,True,True,False,0,0,2020-07-28 19:02:16+00:00,17,179,,,2020-07-28 19:10:25,2020
154,0,10,180,active,True,True,True,False,0,0,2020-07-28 17:08:28+00:00,9,180,,,2020-07-28 19:10:25,2020
155,0,8,181,active,True,True,True,False,0,0,2020-07-28 17:03:58+00:00,11,181,,,2020-07-28 19:10:25,2020
156,0,9,182,active,True,True,True,True,0,0,2020-07-28 17:41:05+00:00,10,182,,,2020-07-28 19:10:25,2020
157,0,5,183,active,True,True,True,False,0,0,2020-07-28 17:39:07+00:00,14,183,,,2020-07-28 19:10:25,2020
158,0,11,184,active,True,True,True,False,0,0,2020-07-28 18:55:24+00:00,8,184,,,2020-07-28 19:10:25,2020
159,0,3,185,active,True,True,True,False,0,0,2020-07-28 18:16:31+00:00,12,185,,,2020-07-28 19:10:25,2020
160,0,10,186,active,True,True,True,True,0,0,2020-07-28 19:06:43+00:00,5,186,,,2020-07-28 19:10:25,2020
161,0,8,187,active,True,True,True,False,0,0,2020-07-28 18:44:48+00:00,7,187,,,2020-07-28 19:10:25,2020
162,0,10,188,active,True,True,True,False,0,0,2020-07-28 18:42:44+00:00,5,188,,,2020-07-28 19:10:25,2020
163,0,19,189,active,True,True,True,True,0,1,2020-07-28 19:06:59+00:00,3,189,,,2020-07-28 19:10:25,2020
164,0,17,190,active,True,True,True,True,0,1,2020-07-28 18:40:17+00:00,19,190,,,2020-07-28 19:10:25,2020
165,0,2,191,active,True,True,True,False,0,0,2020-07-28 16:18:17+00:00,13,191,,,2020-07-28 19:10:25,2020
166,0,13,192,active,True,True,True,False,0,0,2020-07-28 18:01:37+00:00,6,192,,,2020-07-28 19:10:25,2020
167,0,12,193,active,True,True,True,True,0,0,2020-07-28 18:40:23+00:00,3,193,,,2020-07-28 19:10:25,2020
168,0,16,194,active,True,True,True,False,0,0,2020-07-28 16:49:25+00:00,3,194,,,2020-07-28 19:10:25,2020
169,0,8,195,active,True,True,True,False,0,0,2020-07-28 18:48:50+00:00,15,195,,,2020-07-28 19:10:25,2020
170,0,0,196,active,True,True,True,True,0,0,2020-07-28 18:14:23+00:00,10,196,,,2020-07-28 19:10:25,2020
171,0,2,197,active,True,True,True,False,0,0,2020-07-28 19:07:47+00:00,13,197,,,2020-07-28 19:10:25,2020
172,0,3,199,active,True,True,True,False,0,0,2020-07-28 13:59:37+00:00,12,199,,,2020-07-28 19:10:25,2020
173,0,15,200,active,True,True,True,False,0,0,2020-07-28 18:18:28+00:00,4,200,,,2020-07-28 19:10:25,2020
174,0,1,201,active,True,True,True,False,0,0,2020-07-28 18:49:12+00:00,14,201,,,2020-07-28 19:10:25,2020
