,num_bikes_available,is_renting,station_status,num_docks_disabled,num_docks_available,station_id,num_bikes_disabled,last_reported,legacy_id,is_returning,is_installed,num_ebikes_available,eightd_has_available_keys,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
0,8,True,active,0,7,3,0,2020-08-20 23:21:29+00:00,3,True,True,0,False,,,2020-08-20 23:23:25,2020
1,13,True,active,0,6,4,0,2020-08-20 23:21:10+00:00,4,True,True,0,False,,,2020-08-20 23:23:25,2020
2,0,True,active,0,15,5,0,2020-08-20 23:12:21+00:00,5,True,True,0,False,,,2020-08-20 23:23:25,2020
3,0,True,active,0,15,6,0,2020-08-20 23:21:29+00:00,6,True,True,0,False,,,2020-08-20 23:23:25,2020
4,8,True,active,0,7,7,0,2020-08-20 23:16:27+00:00,7,True,True,0,False,,,2020-08-20 23:23:25,2020
5,14,True,active,0,4,8,1,2020-08-20 23:20:37+00:00,8,True,True,0,False,,,2020-08-20 23:23:25,2020
6,13,True,active,0,2,9,0,2020-08-20 23:17:04+00:00,9,True,True,0,False,,,2020-08-20 23:23:25,2020
7,1,True,active,0,10,10,0,2020-08-20 23:14:18+00:00,10,True,True,0,False,,,2020-08-20 23:23:25,2020
8,0,True,active,0,15,11,0,2020-08-20 23:01:25+00:00,11,True,True,0,False,[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],"{'active': True, 'valet_revision': 98, 'dock_blocked_count': 0, 'region': 'BOS', 'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0', 'off_dock_capacity': 50, 'off_dock_count': 3}",2020-08-20 23:23:25,2020
9,12,True,active,0,4,12,2,2020-08-20 22:57:37+00:00,12,True,True,0,True,,,2020-08-20 23:23:25,2020
10,0,True,active,0,19,13,0,2020-08-20 23:10:33+00:00,13,True,True,0,False,,,2020-08-20 23:23:25,2020
11,0,True,active,0,25,14,0,2020-08-20 23:17:55+00:00,14,True,True,0,False,,,2020-08-20 23:23:25,2020
12,13,True,active,0,2,15,0,2020-08-20 23:03:49+00:00,15,True,True,0,False,,,2020-08-20 23:23:25,2020
13,8,True,active,0,11,16,0,2020-08-20 23:23:07+00:00,16,True,True,0,True,,,2020-08-20 23:23:25,2020
14,8,True,active,0,7,17,0,2020-08-20 23:22:31+00:00,17,True,True,0,False,,,2020-08-20 23:23:25,2020
15,3,True,active,0,12,19,0,2020-08-20 22:46:47+00:00,19,True,True,0,False,,,2020-08-20 23:23:25,2020
16,9,True,active,0,14,20,0,2020-08-20 23:18:36+00:00,20,True,True,0,True,,,2020-08-20 23:23:25,2020
17,15,True,active,0,3,21,0,2020-08-20 23:18:44+00:00,21,True,True,0,True,,,2020-08-20 23:23:25,2020
18,5,True,active,0,42,22,0,2020-08-20 23:13:45+00:00,22,True,True,0,True,,,2020-08-20 23:23:25,2020
19,5,True,active,0,16,23,0,2020-08-20 23:19:05+00:00,23,True,True,0,False,,,2020-08-20 23:23:25,2020
20,18,True,active,0,0,24,1,2020-08-20 23:18:12+00:00,24,True,True,0,False,,,2020-08-20 23:23:25,2020
21,7,True,active,0,7,25,1,2020-08-20 23:13:13+00:00,25,True,True,0,False,,,2020-08-20 23:23:25,2020
22,11,True,active,0,4,26,0,2020-08-20 23:12:29+00:00,26,True,True,0,False,,,2020-08-20 23:23:25,2020
23,1,True,active,0,18,27,4,2020-08-20 23:20:36+00:00,27,True,True,0,False,,,2020-08-20 23:23:25,2020
24,3,True,active,0,11,29,1,2020-08-20 23:03:32+00:00,29,True,True,0,False,,,2020-08-20 23:23:25,2020
25,1,True,active,0,13,30,1,2020-08-20 23:13:01+00:00,30,True,True,0,False,,,2020-08-20 23:23:25,2020
26,8,True,active,0,11,31,0,2020-08-20 22:34:23+00:00,31,True,True,0,True,,,2020-08-20 23:23:25,2020
27,6,True,active,0,7,32,2,2020-08-20 23:12:40+00:00,32,True,True,0,False,,,2020-08-20 23:23:25,2020
28,9,True,active,0,17,33,1,2020-08-20 23:21:48+00:00,33,True,True,0,False,,,2020-08-20 23:23:25,2020
29,8,True,active,0,15,35,0,2020-08-20 23:15:31+00:00,35,True,True,0,False,,,2020-08-20 23:23:25,2020
30,17,True,active,0,16,36,0,2020-08-20 23:22:09+00:00,36,True,True,0,True,,,2020-08-20 23:23:25,2020
