,num_ebikes_available,num_docks_available,last_reported,station_status,legacy_id,eightd_has_available_keys,station_id,is_returning,num_bikes_available,num_bikes_disabled,num_docks_disabled,is_installed,is_renting,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
48,0,9,2020-08-18 17:25:36+00:00,active,56,False,56,True,8,1,0,True,True,,,2020-08-18 18:43:50,2020
49,0,11,2020-08-18 18:34:32+00:00,active,57,True,57,True,3,0,0,True,True,,,2020-08-18 18:43:50,2020
50,0,14,2020-08-18 18:43:35+00:00,active,58,True,58,True,3,2,0,True,True,,,2020-08-18 18:43:50,2020
51,0,15,2020-08-18 17:41:25+00:00,active,59,True,59,True,4,0,0,True,True,,,2020-08-18 18:43:50,2020
52,0,18,2020-08-18 18:41:12+00:00,active,60,False,60,True,1,0,0,True,True,,,2020-08-18 18:43:50,2020
53,0,14,2020-08-18 18:40:55+00:00,active,61,False,61,True,5,0,0,True,True,,,2020-08-18 18:43:50,2020
54,0,2,2020-08-18 17:10:01+00:00,active,63,False,63,True,13,0,0,True,True,,,2020-08-18 18:43:50,2020
55,0,5,2020-08-18 18:21:13+00:00,active,64,False,64,True,14,0,0,True,True,,,2020-08-18 18:43:50,2020
56,0,19,2020-08-18 18:13:13+00:00,active,65,False,65,True,4,0,0,True,True,,,2020-08-18 18:43:50,2020
57,0,14,2020-08-18 18:10:24+00:00,active,66,False,66,True,0,1,0,True,True,,,2020-08-18 18:43:50,2020
58,0,3,2020-08-18 18:43:04+00:00,active,67,True,67,True,23,1,0,True,True,,,2020-08-18 18:43:50,2020
59,0,2,2020-08-18 18:43:18+00:00,active,68,True,68,True,17,0,0,True,True,,,2020-08-18 18:43:50,2020
60,0,4,2020-08-18 18:39:25+00:00,active,69,True,69,True,15,0,0,True,True,,,2020-08-18 18:43:50,2020
61,0,7,2020-08-18 18:25:34+00:00,active,70,False,70,True,16,0,0,True,True,,,2020-08-18 18:43:50,2020
62,0,15,2020-08-18 18:23:22+00:00,active,71,False,71,True,8,0,0,True,True,,,2020-08-18 18:43:50,2020
63,0,7,2020-08-18 18:41:18+00:00,active,72,False,72,True,16,0,0,True,True,,,2020-08-18 18:43:50,2020
64,0,7,2020-08-18 18:25:57+00:00,active,73,False,73,True,6,2,0,True,True,,,2020-08-18 18:43:50,2020
65,0,1,2020-08-18 18:42:38+00:00,active,74,True,74,True,17,1,0,True,True,,,2020-08-18 18:43:50,2020
66,0,7,2020-08-18 18:38:18+00:00,active,75,False,75,True,7,1,0,True,True,,,2020-08-18 18:43:50,2020
67,0,12,2020-08-18 18:23:10+00:00,active,76,False,76,True,5,0,0,True,True,,,2020-08-18 18:43:50,2020
68,0,10,2020-08-18 18:34:39+00:00,active,77,False,77,True,5,0,0,True,True,,,2020-08-18 18:43:50,2020
69,0,3,2020-08-18 18:34:40+00:00,active,78,False,78,True,15,1,0,True,True,,,2020-08-18 18:43:50,2020
70,0,11,2020-08-18 18:19:18+00:00,active,79,False,79,True,8,0,0,True,True,,,2020-08-18 18:43:50,2020
71,0,3,2020-08-18 18:38:09+00:00,active,80,False,80,True,32,0,0,True,True,,,2020-08-18 18:43:50,2020
72,0,12,2020-08-18 18:43:26+00:00,active,81,False,81,True,7,0,0,True,True,,,2020-08-18 18:43:50,2020
73,0,11,2020-08-18 18:13:10+00:00,active,82,False,82,True,3,1,0,True,True,,,2020-08-18 18:43:50,2020
74,0,3,2020-08-18 18:43:16+00:00,active,84,False,84,True,10,2,0,True,True,,,2020-08-18 18:43:50,2020
75,0,4,2020-08-18 18:22:47+00:00,active,85,False,85,True,14,1,0,True,True,,,2020-08-18 18:43:50,2020
76,0,18,2020-08-18 18:42:59+00:00,active,86,False,86,True,1,0,0,True,True,,,2020-08-18 18:43:50,2020
77,0,7,2020-08-18 18:29:39+00:00,active,87,False,87,True,8,0,0,True,True,,,2020-08-18 18:43:50,2020
78,0,12,2020-08-18 17:44:35+00:00,active,89,False,89,True,7,0,0,True,True,,,2020-08-18 18:43:50,2020
79,0,14,2020-08-18 18:23:06+00:00,active,90,False,90,True,5,0,0,True,True,,,2020-08-18 18:43:50,2020
