,num_docks_available,station_id,is_installed,last_reported,num_bikes_disabled,station_status,num_ebikes_available,legacy_id,is_returning,num_docks_disabled,eightd_has_available_keys,num_bikes_available,is_renting,timestamp_of_data_read_request,year_station_last_reported
189,4,217,True,2020-08-12 18:00:15+00:00,0,active,0,217,True,0,False,15,True,2020-08-12 19:35:50,2020
190,7,218,True,2020-08-12 19:16:37+00:00,0,active,0,218,True,0,False,8,True,2020-08-12 19:35:50,2020
191,7,219,True,2020-08-12 12:16:03+00:00,2,active,0,219,True,0,False,6,True,2020-08-12 19:35:50,2020
192,13,221,True,2020-08-12 18:20:51+00:00,0,active,0,221,True,0,False,6,True,2020-08-12 19:35:50,2020
193,12,222,True,2020-08-12 18:49:31+00:00,0,active,0,222,True,0,True,2,True,2020-08-12 19:35:50,2020
194,2,224,True,2020-08-12 14:08:37+00:00,1,active,0,224,True,0,False,14,True,2020-08-12 19:35:50,2020
195,17,225,True,2020-08-12 18:03:36+00:00,0,active,0,225,True,0,False,2,True,2020-08-12 19:35:50,2020
196,13,226,True,2020-08-12 19:13:37+00:00,0,active,0,226,True,0,False,2,True,2020-08-12 19:35:50,2020
197,6,227,True,2020-08-12 19:35:45+00:00,3,active,0,227,True,0,False,10,True,2020-08-12 19:35:50,2020
198,17,228,True,2020-08-12 19:03:54+00:00,0,active,0,228,True,0,False,2,True,2020-08-12 19:35:50,2020
199,3,232,True,2020-08-12 08:08:09+00:00,0,active,0,232,True,0,False,8,True,2020-08-12 19:35:50,2020
200,9,233,True,2020-08-12 18:16:55+00:00,0,active,0,233,False,0,False,6,False,2020-08-12 19:35:50,2020
201,14,234,True,2020-08-12 17:15:32+00:00,0,active,0,234,True,0,False,1,True,2020-08-12 19:35:50,2020
202,10,235,True,2020-08-12 19:07:58+00:00,0,active,0,235,True,0,False,5,True,2020-08-12 19:35:50,2020
203,8,236,True,2020-08-12 19:29:25+00:00,0,active,0,236,True,0,False,7,True,2020-08-12 19:35:50,2020
204,11,239,True,2020-08-12 17:42:23+00:00,0,active,0,239,True,0,False,4,True,2020-08-12 19:35:50,2020
205,7,255,True,2020-08-12 08:53:35+00:00,0,active,0,255,True,0,False,8,True,2020-08-12 19:35:50,2020
206,5,258,True,2020-08-12 08:54:13+00:00,0,active,0,258,True,0,False,10,True,2020-08-12 19:35:50,2020
207,0,259,True,2020-08-12 08:53:25+00:00,0,active,0,259,True,0,False,15,True,2020-08-12 19:35:50,2020
208,5,260,True,2020-08-12 17:27:23+00:00,0,active,0,260,True,0,False,10,True,2020-08-12 19:35:50,2020
