,last_reported,is_renting,num_bikes_available,num_ebikes_available,station_status,legacy_id,num_docks_available,station_id,num_docks_disabled,num_bikes_disabled,eightd_has_available_keys,is_installed,is_returning,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
0,2020-08-04 21:09:49+00:00,True,12,0,active,3,3,3,0,0,True,True,True,,,2020-08-04 22:08:20,2020
1,2020-08-04 21:19:02+00:00,True,5,0,active,4,13,4,0,1,False,True,True,,,2020-08-04 22:08:20,2020
2,2020-08-04 21:56:42+00:00,True,8,0,active,5,7,5,0,0,False,True,True,,,2020-08-04 22:08:20,2020
3,2020-08-04 22:08:12+00:00,True,7,0,active,6,7,6,0,1,False,True,True,,,2020-08-04 22:08:20,2020
4,2020-08-04 21:01:26+00:00,True,6,0,active,7,8,7,0,1,False,True,True,,,2020-08-04 22:08:20,2020
5,2020-08-04 21:58:27+00:00,True,8,0,active,8,11,8,0,0,False,True,True,,,2020-08-04 22:08:20,2020
6,2020-08-04 20:57:40+00:00,True,9,0,active,9,6,9,0,0,False,True,True,,,2020-08-04 22:08:20,2020
7,2020-08-04 22:03:14+00:00,True,3,0,active,10,6,10,0,2,False,True,True,,,2020-08-04 22:08:20,2020
8,2020-08-04 22:05:11+00:00,True,2,0,active,11,13,11,0,0,False,True,True,[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],"{'off_dock_count': 12, 'active': True, 'off_dock_capacity': 50, 'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0', 'region': 'BOS', 'valet_revision': 77, 'dock_blocked_count': 0}",2020-08-04 22:08:20,2020
9,2020-08-04 22:08:00+00:00,True,11,0,active,12,7,12,0,0,True,True,True,,,2020-08-04 22:08:20,2020
10,2020-08-04 22:02:59+00:00,True,2,0,active,13,17,13,0,0,False,True,True,,,2020-08-04 22:08:20,2020
11,2020-08-04 22:05:36+00:00,True,6,0,active,14,17,14,0,2,False,True,True,,,2020-08-04 22:08:20,2020
12,2020-08-04 21:40:16+00:00,True,10,0,active,15,5,15,0,0,False,True,True,,,2020-08-04 22:08:20,2020
13,2020-08-04 22:05:25+00:00,True,9,0,active,16,10,16,0,0,True,True,True,,,2020-08-04 22:08:20,2020
14,2020-08-04 21:51:05+00:00,True,6,0,active,17,7,17,0,2,False,True,True,,,2020-08-04 22:08:20,2020
15,2020-08-04 19:52:49+00:00,True,9,0,active,19,4,19,0,2,False,True,True,,,2020-08-04 22:08:20,2020
16,2020-08-04 21:43:47+00:00,True,15,0,active,20,7,20,0,1,True,True,True,,,2020-08-04 22:08:20,2020
17,2020-08-04 22:02:14+00:00,True,2,0,active,21,16,21,0,0,True,True,True,,,2020-08-04 22:08:20,2020
18,2020-08-04 22:04:58+00:00,True,4,0,active,22,42,22,0,1,True,True,True,,,2020-08-04 22:08:20,2020
19,2020-08-04 22:00:09+00:00,True,0,0,active,23,19,23,0,2,True,True,True,,,2020-08-04 22:08:20,2020
20,2020-08-04 19:53:18+00:00,True,6,0,active,24,12,24,0,1,False,True,True,,,2020-08-04 22:08:20,2020
21,2020-08-04 21:55:48+00:00,True,8,0,active,25,7,25,0,0,False,True,True,,,2020-08-04 22:08:20,2020
22,2020-08-04 22:05:49+00:00,True,11,0,active,26,3,26,0,1,False,True,True,,,2020-08-04 22:08:20,2020
23,2020-08-04 21:58:29+00:00,True,9,0,active,27,13,27,0,1,False,True,True,,,2020-08-04 22:08:20,2020
24,2020-08-04 20:06:14+00:00,True,10,0,active,29,5,29,0,0,False,True,True,,,2020-08-04 22:08:20,2020
25,2020-08-04 22:07:24+00:00,True,12,0,active,30,3,30,0,0,False,True,True,,,2020-08-04 22:08:20,2020
26,2020-08-04 20:19:18+00:00,True,3,0,active,31,16,31,0,0,True,True,True,,,2020-08-04 22:08:20,2020
27,2020-08-04 21:56:51+00:00,True,10,0,active,32,4,32,0,1,False,True,True,,,2020-08-04 22:08:20,2020
28,2020-08-04 22:06:48+00:00,True,2,0,active,33,24,33,0,1,False,True,True,,,2020-08-04 22:08:20,2020
29,2020-08-04 22:04:40+00:00,True,7,0,active,35,16,35,0,0,False,True,True,,,2020-08-04 22:08:20,2020
30,2020-08-04 22:02:43+00:00,True,17,0,active,36,16,36,0,0,True,True,True,,,2020-08-04 22:08:20,2020
31,2020-08-04 22:02:50+00:00,True,13,0,active,37,1,37,1,0,True,True,True,,,2020-08-04 22:08:20,2020
32,2020-08-04 21:24:10+00:00,True,5,0,active,39,15,39,0,3,False,True,True,,,2020-08-04 22:08:20,2020
33,2020-08-04 21:44:31+00:00,True,11,0,active,40,6,40,0,2,False,True,True,,,2020-08-04 22:08:20,2020
34,2020-08-04 21:55:33+00:00,True,6,0,active,41,17,41,1,3,True,True,True,,,2020-08-04 22:08:20,2020
35,2020-08-04 21:44:05+00:00,True,3,0,active,42,20,42,0,0,False,True,True,,,2020-08-04 22:08:20,2020
36,2020-08-04 20:56:01+00:00,True,7,0,active,43,8,43,0,0,True,True,True,,,2020-08-04 22:08:20,2020
37,2020-08-04 21:18:01+00:00,True,18,0,active,44,5,44,0,0,False,True,True,,,2020-08-04 22:08:20,2020
38,2020-08-04 22:06:21+00:00,True,9,0,active,46,10,46,0,0,False,True,True,,,2020-08-04 22:08:20,2020
39,2020-08-04 22:06:49+00:00,True,18,0,active,47,1,47,0,0,True,True,True,,,2020-08-04 22:08:20,2020
40,2020-08-04 21:52:05+00:00,True,4,0,active,48,15,48,0,0,False,True,True,,,2020-08-04 22:08:20,2020
41,2020-08-04 21:07:36+00:00,True,11,0,active,49,6,49,0,1,False,True,True,,,2020-08-04 22:08:20,2020
42,2020-08-04 21:59:12+00:00,True,8,0,active,50,5,50,0,2,True,True,True,,,2020-08-04 22:08:20,2020
43,2020-08-04 21:53:04+00:00,True,5,0,active,51,9,51,0,1,False,True,True,,,2020-08-04 22:08:20,2020
44,2020-08-04 22:00:41+00:00,True,17,0,active,52,5,52,0,1,True,True,True,,,2020-08-04 22:08:20,2020
45,2020-08-04 22:04:45+00:00,True,14,0,active,53,5,53,0,0,False,True,True,,,2020-08-04 22:08:20,2020
46,2020-08-04 22:05:06+00:00,True,10,0,active,54,4,54,0,1,False,True,True,,,2020-08-04 22:08:20,2020
47,2020-08-04 20:50:20+00:00,True,9,0,active,55,6,55,0,0,False,True,True,,,2020-08-04 22:08:20,2020
48,2020-08-04 20:58:14+00:00,True,7,0,active,56,11,56,0,0,True,True,True,,,2020-08-04 22:08:20,2020
49,2020-08-04 21:48:28+00:00,True,4,0,active,57,9,57,0,1,True,True,True,,,2020-08-04 22:08:20,2020
50,2020-08-04 19:42:09+00:00,True,6,0,active,58,12,58,0,1,True,True,True,,,2020-08-04 22:08:20,2020
51,2020-08-04 21:15:44+00:00,True,6,0,active,59,12,59,0,1,True,True,True,,,2020-08-04 22:08:20,2020
52,2020-08-04 21:57:20+00:00,True,12,0,active,60,7,60,0,0,False,True,True,,,2020-08-04 22:08:20,2020
