,num_bikes_disabled,eightd_has_available_keys,legacy_id,num_docks_available,station_id,is_installed,is_renting,num_docks_disabled,last_reported,num_bikes_available,station_status,num_ebikes_available,is_returning,timestamp_of_data_read_request,year_station_last_reported
0,0,False,3,14,3,True,True,0,2020-08-11 04:40:03+00:00,1,active,0,True,2020-08-11 05:37:05,2020
1,0,False,4,9,4,True,True,0,2020-08-11 03:34:49+00:00,10,active,0,True,2020-08-11 05:37:05,2020
2,0,False,5,6,5,True,True,0,2020-08-11 04:16:25+00:00,9,active,0,True,2020-08-11 05:37:05,2020
3,2,False,6,7,6,True,True,0,2020-08-11 04:38:31+00:00,6,active,0,True,2020-08-11 05:37:05,2020
4,0,False,7,4,7,True,True,0,2020-08-11 04:31:47+00:00,11,active,0,True,2020-08-11 05:37:05,2020
5,3,False,8,1,8,True,True,0,2020-08-11 05:22:35+00:00,15,active,0,True,2020-08-11 05:37:05,2020
6,0,False,9,2,9,True,True,0,2020-08-11 02:56:54+00:00,13,active,0,True,2020-08-11 05:37:05,2020
7,0,False,10,5,10,True,True,0,2020-08-11 02:49:09+00:00,6,active,0,True,2020-08-11 05:37:05,2020
8,0,False,11,14,11,True,True,0,2020-08-11 05:22:57+00:00,1,active,0,True,2020-08-11 05:37:05,2020
9,1,True,12,4,12,True,True,0,2020-08-11 03:49:45+00:00,13,active,0,True,2020-08-11 05:37:05,2020
10,0,False,13,19,13,True,True,0,2020-08-11 03:28:59+00:00,0,active,0,True,2020-08-11 05:37:05,2020
11,0,False,14,25,14,True,True,0,2020-08-11 03:42:22+00:00,0,active,0,True,2020-08-11 05:37:05,2020
12,0,False,15,0,15,True,True,0,2020-08-10 23:44:01+00:00,15,active,0,True,2020-08-11 05:37:05,2020
13,0,True,16,13,16,True,True,0,2020-08-11 02:09:05+00:00,6,active,0,True,2020-08-11 05:37:05,2020
14,1,False,17,9,17,True,True,0,2020-08-11 04:28:02+00:00,5,active,0,True,2020-08-11 05:37:05,2020
15,0,False,19,8,19,True,True,0,2020-08-11 04:54:14+00:00,7,active,0,True,2020-08-11 05:37:05,2020
16,0,True,20,14,20,True,True,0,2020-08-11 05:10:58+00:00,9,active,0,True,2020-08-11 05:37:05,2020
17,0,True,21,12,21,True,True,0,2020-08-11 04:15:52+00:00,6,active,0,True,2020-08-11 05:37:05,2020
18,2,True,22,39,22,True,True,0,2020-08-11 05:33:23+00:00,6,active,0,True,2020-08-11 05:37:05,2020
19,1,False,23,20,23,True,True,0,2020-08-11 05:11:21+00:00,0,active,0,True,2020-08-11 05:37:05,2020
20,1,False,24,18,24,True,True,0,2020-08-11 02:35:45+00:00,0,active,0,True,2020-08-11 05:37:05,2020
21,2,False,25,3,25,True,True,0,2020-08-11 03:30:40+00:00,10,active,0,True,2020-08-11 05:37:05,2020
22,1,False,26,6,26,True,True,0,2020-08-11 02:13:05+00:00,8,active,0,True,2020-08-11 05:37:05,2020
23,1,False,27,2,27,True,True,0,2020-08-11 04:35:36+00:00,20,active,0,True,2020-08-11 05:37:05,2020
24,1,False,29,8,29,True,True,0,2020-08-11 01:42:05+00:00,6,active,0,True,2020-08-11 05:37:05,2020
25,0,False,30,11,30,True,True,0,2020-08-11 05:33:15+00:00,4,active,0,True,2020-08-11 05:37:05,2020
26,1,True,31,16,31,True,True,0,2020-08-11 00:23:37+00:00,2,active,0,True,2020-08-11 05:37:05,2020
27,0,False,32,14,32,True,True,0,2020-08-11 04:05:26+00:00,1,active,0,True,2020-08-11 05:37:05,2020
28,0,False,33,21,33,True,True,0,2020-08-11 04:53:04+00:00,6,active,0,True,2020-08-11 05:37:05,2020
29,0,False,35,20,35,True,True,0,2020-08-11 01:59:50+00:00,3,active,0,True,2020-08-11 05:37:05,2020
30,0,True,36,28,36,True,True,0,2020-08-11 04:30:11+00:00,5,active,0,True,2020-08-11 05:37:05,2020
31,0,True,37,7,37,True,True,0,2020-08-10 23:35:32+00:00,8,active,0,True,2020-08-11 05:37:05,2020
32,0,False,39,19,39,True,True,0,2020-08-11 04:11:14+00:00,4,active,0,True,2020-08-11 05:37:05,2020
33,0,False,40,4,40,True,True,0,2020-08-11 04:08:33+00:00,15,active,0,True,2020-08-11 05:37:05,2020
34,2,True,41,6,41,True,True,0,2020-08-11 05:00:54+00:00,19,active,0,True,2020-08-11 05:37:05,2020
35,0,False,42,14,42,True,True,0,2020-08-11 05:04:47+00:00,9,active,0,True,2020-08-11 05:37:05,2020
