,is_renting,num_ebikes_available,is_installed,num_docks_disabled,is_returning,last_reported,legacy_id,eightd_has_available_keys,station_id,num_bikes_disabled,num_docks_available,num_bikes_available,station_status,timestamp_of_data_read_request,year_station_last_reported
52,True,0,True,0,True,2020-08-14 05:06:53+00:00,60,False,60,0,15,4,active,2020-08-14 07:11:05,2020
53,True,0,True,0,True,2020-08-14 06:19:45+00:00,61,False,61,0,18,1,active,2020-08-14 07:11:05,2020
54,True,0,True,0,True,2020-08-14 02:31:08+00:00,63,False,63,0,11,4,active,2020-08-14 07:11:05,2020
55,True,0,True,0,True,2020-08-14 05:19:27+00:00,64,False,64,1,15,3,active,2020-08-14 07:11:05,2020
56,True,0,True,0,True,2020-08-14 02:21:20+00:00,65,False,65,1,19,3,active,2020-08-14 07:11:05,2020
57,True,0,True,0,True,2020-08-14 07:00:22+00:00,66,False,66,2,0,13,active,2020-08-14 07:11:05,2020
58,True,0,True,0,True,2020-08-14 04:49:02+00:00,67,True,67,0,27,0,active,2020-08-14 07:11:05,2020
59,True,0,True,0,True,2020-08-14 04:59:08+00:00,68,True,68,1,3,15,active,2020-08-14 07:11:05,2020
60,True,0,True,0,True,2020-08-14 04:14:06+00:00,69,True,69,0,7,12,active,2020-08-14 07:11:05,2020
61,True,0,True,0,True,2020-08-14 03:22:57+00:00,70,False,70,0,6,17,active,2020-08-14 07:11:05,2020
62,True,0,True,0,True,2020-08-14 03:38:57+00:00,71,False,71,1,10,12,active,2020-08-14 07:11:05,2020
63,True,0,True,0,True,2020-08-14 02:15:35+00:00,72,False,72,0,23,0,active,2020-08-14 07:11:05,2020
64,True,0,True,0,True,2020-08-14 05:45:31+00:00,73,False,73,1,14,0,active,2020-08-14 07:11:05,2020
65,True,0,True,0,True,2020-08-14 05:50:00+00:00,74,True,74,2,8,9,active,2020-08-14 07:11:05,2020
66,True,0,True,0,True,2020-08-14 06:39:20+00:00,75,False,75,0,13,2,active,2020-08-14 07:11:05,2020
67,True,0,True,0,True,2020-08-14 05:15:43+00:00,76,False,76,1,4,12,active,2020-08-14 07:11:05,2020
68,True,0,True,0,True,2020-08-14 05:10:34+00:00,77,False,77,1,6,8,active,2020-08-14 07:11:05,2020
69,True,0,True,0,True,2020-08-14 03:55:42+00:00,78,False,78,0,0,19,active,2020-08-14 07:11:05,2020
70,True,0,True,0,True,2020-08-14 06:30:11+00:00,79,False,79,2,4,13,active,2020-08-14 07:11:05,2020
71,True,0,True,0,True,2020-08-14 07:08:17+00:00,80,False,80,1,31,3,active,2020-08-14 07:11:05,2020
72,True,0,True,0,True,2020-08-14 04:50:39+00:00,81,False,81,0,4,15,active,2020-08-14 07:11:05,2020
73,True,0,True,0,True,2020-08-14 02:39:23+00:00,82,False,82,0,12,3,active,2020-08-14 07:11:05,2020
74,True,0,True,0,True,2020-08-14 05:19:58+00:00,84,False,84,0,11,4,active,2020-08-14 07:11:05,2020
75,True,0,True,0,True,2020-08-14 02:50:42+00:00,85,False,85,0,17,2,active,2020-08-14 07:11:05,2020
76,True,0,True,0,True,2020-08-14 06:47:47+00:00,86,False,86,0,4,15,active,2020-08-14 07:11:05,2020
77,True,0,True,0,True,2020-08-14 06:02:52+00:00,87,False,87,0,1,14,active,2020-08-14 07:11:05,2020
78,True,0,True,0,True,2020-08-14 04:02:10+00:00,89,False,89,0,8,11,active,2020-08-14 07:11:05,2020
79,True,0,True,0,True,2020-08-14 04:08:14+00:00,90,False,90,2,0,17,active,2020-08-14 07:11:05,2020
80,True,0,True,0,True,2020-08-14 05:13:59+00:00,91,False,91,0,18,1,active,2020-08-14 07:11:05,2020
81,True,0,True,0,True,2020-08-14 00:17:58+00:00,92,False,92,0,9,10,active,2020-08-14 07:11:05,2020
82,True,0,True,0,True,2020-08-14 06:39:42+00:00,93,False,93,0,1,14,active,2020-08-14 07:11:05,2020
83,True,0,True,0,True,2020-08-14 01:02:51+00:00,94,False,94,0,6,5,active,2020-08-14 07:11:05,2020
84,True,0,True,0,True,2020-08-14 06:35:06+00:00,95,False,95,1,3,11,active,2020-08-14 07:11:05,2020
85,True,0,True,0,True,2020-08-14 01:33:58+00:00,96,False,96,1,5,13,active,2020-08-14 07:11:05,2020
86,True,0,True,0,True,2020-08-14 04:51:23+00:00,97,False,97,1,12,6,active,2020-08-14 07:11:05,2020
87,True,0,True,0,True,2020-08-14 04:20:35+00:00,98,False,98,0,14,9,active,2020-08-14 07:11:05,2020
88,True,0,True,0,True,2020-08-14 06:51:56+00:00,99,False,99,0,0,15,active,2020-08-14 07:11:05,2020
89,True,0,True,0,True,2020-08-14 06:17:53+00:00,100,True,100,1,1,23,active,2020-08-14 07:11:05,2020
90,True,0,True,0,True,2020-08-14 00:15:33+00:00,101,False,101,0,0,15,active,2020-08-14 07:11:05,2020
