,num_bikes_disabled,last_reported,legacy_id,eightd_has_available_keys,is_installed,num_docks_available,num_ebikes_available,num_docks_disabled,is_returning,station_status,station_id,is_renting,num_bikes_available,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
43,0,2020-08-09 00:02:10+00:00,51,False,True,11,0,0,True,active,51,True,4,,,2020-08-09 00:50:20,2020
44,1,2020-08-09 00:47:55+00:00,52,True,True,22,0,0,True,active,52,True,0,,,2020-08-09 00:50:20,2020
45,0,2020-08-09 00:49:25+00:00,53,False,True,8,0,0,True,active,53,True,11,,,2020-08-09 00:50:20,2020
46,0,2020-08-09 00:40:22+00:00,54,False,True,12,0,0,True,active,54,True,3,,,2020-08-09 00:50:20,2020
47,1,2020-08-09 00:47:24+00:00,55,False,True,4,0,0,True,active,55,True,10,,,2020-08-09 00:50:20,2020
48,0,2020-08-08 22:18:26+00:00,56,True,True,12,0,0,True,active,56,True,6,,,2020-08-09 00:50:20,2020
49,0,2020-08-09 00:49:22+00:00,57,True,True,7,0,0,True,active,57,True,7,,,2020-08-09 00:50:20,2020
50,2,2020-08-09 00:44:30+00:00,58,True,True,16,0,0,True,active,58,True,1,,,2020-08-09 00:50:20,2020
51,0,2020-08-08 23:59:53+00:00,59,False,True,9,0,0,True,active,59,True,10,,,2020-08-09 00:50:20,2020
52,0,2020-08-09 00:49:29+00:00,60,False,True,9,0,0,True,active,60,True,10,,,2020-08-09 00:50:20,2020
53,2,2020-08-09 00:48:08+00:00,61,False,True,11,0,0,True,active,61,True,6,,,2020-08-09 00:50:20,2020
54,1,2020-08-08 23:25:34+00:00,63,False,True,12,0,0,True,active,63,True,2,,,2020-08-09 00:50:20,2020
55,0,2020-08-09 00:38:10+00:00,64,False,True,15,0,0,True,active,64,True,4,,,2020-08-09 00:50:20,2020
56,0,2020-08-09 00:48:41+00:00,65,False,True,17,0,0,True,active,65,True,6,,,2020-08-09 00:50:20,2020
57,0,2020-08-09 00:48:42+00:00,66,False,True,10,0,0,True,active,66,True,5,,,2020-08-09 00:50:20,2020
58,0,2020-08-09 00:42:18+00:00,67,True,True,21,0,0,True,active,67,True,6,,,2020-08-09 00:50:20,2020
59,1,2020-08-09 00:48:56+00:00,68,True,True,3,0,0,True,active,68,True,15,,,2020-08-09 00:50:20,2020
60,0,2020-08-09 00:40:44+00:00,69,True,True,16,0,0,True,active,69,True,3,,,2020-08-09 00:50:20,2020
61,0,2020-08-09 00:47:19+00:00,70,False,True,4,0,0,True,active,70,True,19,,,2020-08-09 00:50:20,2020
62,0,2020-08-09 00:34:33+00:00,71,False,True,4,0,0,True,active,71,True,19,,,2020-08-09 00:50:20,2020
63,0,2020-08-09 00:29:39+00:00,72,False,True,18,0,0,True,active,72,True,5,,,2020-08-09 00:50:20,2020
64,0,2020-08-09 00:34:42+00:00,73,False,True,0,0,0,True,active,73,True,15,,,2020-08-09 00:50:20,2020
65,1,2020-08-09 00:42:13+00:00,74,True,True,8,0,0,True,active,74,True,10,,,2020-08-09 00:50:20,2020
66,0,2020-08-09 00:41:35+00:00,75,False,True,1,0,0,True,active,75,True,14,,,2020-08-09 00:50:20,2020
67,0,2020-08-09 00:43:15+00:00,76,False,True,7,0,0,True,active,76,True,10,,,2020-08-09 00:50:20,2020
68,0,2020-08-09 00:46:33+00:00,77,False,True,10,0,0,True,active,77,True,5,,,2020-08-09 00:50:20,2020
69,0,2020-08-09 00:32:33+00:00,78,False,True,2,0,0,True,active,78,True,17,,,2020-08-09 00:50:20,2020
70,2,2020-08-09 00:41:47+00:00,79,False,True,12,0,0,True,active,79,True,5,,,2020-08-09 00:50:20,2020
71,1,2020-08-08 22:58:33+00:00,80,False,True,34,0,0,True,active,80,True,0,,,2020-08-09 00:50:20,2020
72,1,2020-08-09 00:31:47+00:00,81,False,True,14,0,0,True,active,81,True,4,,,2020-08-09 00:50:20,2020
73,0,2020-08-08 23:21:29+00:00,82,False,True,13,0,0,True,active,82,True,2,,,2020-08-09 00:50:20,2020
74,0,2020-08-09 00:49:07+00:00,84,False,True,11,0,0,True,active,84,True,4,,,2020-08-09 00:50:20,2020
75,1,2020-08-09 00:11:44+00:00,85,False,True,9,0,0,True,active,85,True,9,,,2020-08-09 00:50:20,2020
76,0,2020-08-09 00:39:12+00:00,86,False,True,9,0,0,True,active,86,True,10,,,2020-08-09 00:50:20,2020
77,1,2020-08-09 00:39:59+00:00,87,False,True,10,0,0,True,active,87,True,4,,,2020-08-09 00:50:20,2020
78,0,2020-08-09 00:45:14+00:00,89,False,True,9,0,0,True,active,89,True,10,,,2020-08-09 00:50:20,2020
79,1,2020-08-09 00:45:27+00:00,90,False,True,17,0,0,True,active,90,True,1,,,2020-08-09 00:50:20,2020
80,2,2020-08-09 00:50:04+00:00,91,False,True,11,0,0,True,active,91,True,6,,,2020-08-09 00:50:20,2020
81,0,2020-08-08 20:49:16+00:00,92,False,True,9,0,0,True,active,92,True,10,,,2020-08-09 00:50:20,2020
82,0,2020-08-09 00:27:56+00:00,93,False,True,1,0,0,True,active,93,True,14,,,2020-08-09 00:50:20,2020
83,1,2020-08-09 00:38:16+00:00,94,False,True,4,0,0,True,active,94,True,6,,,2020-08-09 00:50:20,2020
84,0,2020-08-09 00:48:09+00:00,95,False,True,9,0,0,True,active,95,True,6,,,2020-08-09 00:50:20,2020
85,0,2020-08-09 00:38:59+00:00,96,False,True,8,0,0,True,active,96,True,11,,,2020-08-09 00:50:20,2020
86,1,2020-08-09 00:46:35+00:00,97,False,True,12,0,0,True,active,97,True,6,,,2020-08-09 00:50:20,2020
87,0,2020-08-09 00:48:06+00:00,98,False,True,13,0,0,True,active,98,True,10,,,2020-08-09 00:50:20,2020
88,0,2020-08-09 00:27:34+00:00,99,False,True,11,0,0,True,active,99,True,4,,,2020-08-09 00:50:20,2020
89,2,2020-08-09 00:45:35+00:00,100,True,True,0,0,0,True,active,100,True,23,,,2020-08-09 00:50:20,2020
90,0,2020-08-09 00:12:43+00:00,101,False,True,9,0,0,True,active,101,True,6,,,2020-08-09 00:50:20,2020
91,3,2020-08-09 00:32:09+00:00,102,False,True,3,0,0,True,active,102,True,9,,,2020-08-09 00:50:20,2020
92,0,2020-08-09 00:09:28+00:00,103,False,True,14,0,0,True,active,103,True,1,,,2020-08-09 00:50:20,2020
93,0,2020-08-08 23:50:12+00:00,104,False,True,0,0,0,True,active,104,True,19,,,2020-08-09 00:50:20,2020
94,1,2020-08-09 00:43:19+00:00,105,False,True,13,0,0,True,active,105,True,5,,,2020-08-09 00:50:20,2020
95,0,2020-08-09 00:48:25+00:00,106,False,True,7,0,0,True,active,106,True,8,,,2020-08-09 00:50:20,2020
96,0,2020-08-09 00:49:58+00:00,107,False,True,13,0,0,True,active,107,True,6,,,2020-08-09 00:50:20,2020
97,0,2020-08-09 00:21:04+00:00,108,False,True,15,0,0,True,active,108,True,2,,,2020-08-09 00:50:20,2020
98,0,2020-08-08 23:50:17+00:00,109,False,True,25,0,0,True,active,109,True,10,,,2020-08-09 00:50:20,2020
99,1,2020-08-09 00:43:28+00:00,110,False,True,14,0,0,True,active,110,True,0,,,2020-08-09 00:50:20,2020
100,0,2020-08-08 23:40:17+00:00,111,False,True,13,0,0,True,active,111,True,2,,,2020-08-09 00:50:20,2020
101,0,2020-08-09 00:27:30+00:00,112,False,True,8,0,0,True,active,112,True,7,,,2020-08-09 00:50:20,2020
102,1,2020-08-09 00:27:38+00:00,113,False,True,13,0,0,True,active,113,True,1,,,2020-08-09 00:50:20,2020
103,0,2020-08-09 00:42:22+00:00,114,False,True,14,0,0,True,active,114,True,1,,,2020-08-09 00:50:20,2020
104,0,2020-08-09 00:42:18+00:00,115,False,True,2,0,0,True,active,115,True,17,,,2020-08-09 00:50:20,2020
105,0,2020-08-09 00:33:51+00:00,116,False,True,18,0,0,True,active,116,True,5,,,2020-08-09 00:50:20,2020
106,1,2020-08-09 00:33:16+00:00,117,False,True,8,0,0,True,active,117,True,10,,,2020-08-09 00:50:20,2020
107,1,2020-08-09 00:25:35+00:00,118,False,True,11,0,0,True,active,118,True,7,,,2020-08-09 00:50:20,2020
108,0,2020-08-09 00:42:56+00:00,119,False,True,5,0,0,True,active,119,True,10,,,2020-08-09 00:50:20,2020
109,6,2020-08-09 00:47:07+00:00,120,False,True,4,0,0,True,active,120,True,5,,,2020-08-09 00:50:20,2020
110,0,2020-08-09 00:30:26+00:00,121,False,True,4,0,0,True,active,121,True,13,,,2020-08-09 00:50:20,2020
111,0,2020-08-09 00:41:53+00:00,122,False,True,10,0,0,True,active,122,True,5,,,2020-08-09 00:50:20,2020
112,0,2020-08-08 22:18:30+00:00,124,False,True,5,0,0,False,active,124,False,10,,,2020-08-09 00:50:20,2020
113,0,2020-08-09 00:44:00+00:00,125,False,True,13,0,0,True,active,125,True,2,,,2020-08-09 00:50:20,2020
114,0,2020-08-08 23:07:09+00:00,126,False,True,8,0,0,True,active,126,True,7,,,2020-08-09 00:50:20,2020
115,1,2020-08-09 00:37:40+00:00,128,False,True,2,0,0,True,active,128,True,16,,,2020-08-09 00:50:20,2020
116,0,2020-08-09 00:34:48+00:00,129,False,True,11,0,0,True,active,129,True,8,,,2020-08-09 00:50:20,2020
117,0,2020-08-08 22:55:56+00:00,130,False,True,3,0,0,True,active,130,True,12,,,2020-08-09 00:50:20,2020
118,0,2020-08-09 00:43:22+00:00,131,False,True,4,0,0,True,active,131,True,14,,,2020-08-09 00:50:20,2020
119,0,2020-08-08 23:02:57+00:00,133,False,True,6,0,0,True,active,133,True,17,,,2020-08-09 00:50:20,2020
120,1,2020-08-08 22:25:34+00:00,135,False,True,14,0,0,True,active,135,True,2,,,2020-08-09 00:50:20,2020
121,1,2020-08-09 00:28:52+00:00,136,False,True,13,0,0,True,active,136,True,5,,,2020-08-09 00:50:20,2020
122,0,2020-08-09 00:17:21+00:00,137,False,True,8,0,0,True,active,137,True,7,,,2020-08-09 00:50:20,2020
123,1,2020-08-09 00:37:25+00:00,138,False,True,8,0,0,True,active,138,True,6,,,2020-08-09 00:50:20,2020
