,num_bikes_disabled,is_returning,is_renting,eightd_has_available_keys,num_docks_disabled,is_installed,num_ebikes_available,last_reported,station_status,num_docks_available,legacy_id,num_bikes_available,station_id,timestamp_of_data_read_request,year_station_last_reported
0,1,True,True,False,0,True,0,2020-08-12 00:47:12+00:00,active,14,3,0,3,2020-08-12 01:07:55,2020
1,0,True,True,False,0,True,0,2020-08-12 01:05:55+00:00,active,6,4,13,4,2020-08-12 01:07:55,2020
2,0,True,True,False,0,True,0,2020-08-12 01:03:17+00:00,active,3,5,12,5,2020-08-12 01:07:55,2020
3,2,True,True,False,0,True,0,2020-08-12 00:51:54+00:00,active,10,6,3,6,2020-08-12 01:07:55,2020
4,0,True,True,False,0,True,0,2020-08-12 00:59:58+00:00,active,10,7,5,7,2020-08-12 01:07:55,2020
5,1,True,True,False,0,True,0,2020-08-12 00:57:21+00:00,active,7,8,11,8,2020-08-12 01:07:55,2020
6,0,True,True,False,0,True,0,2020-08-12 00:58:04+00:00,active,4,9,11,9,2020-08-12 01:07:55,2020
7,0,True,True,False,0,True,0,2020-08-12 00:54:52+00:00,active,11,10,0,10,2020-08-12 01:07:55,2020
8,0,True,True,False,0,True,0,2020-08-12 01:06:25+00:00,active,9,11,6,11,2020-08-12 01:07:55,2020
9,0,True,True,True,0,True,0,2020-08-12 00:48:13+00:00,active,6,12,12,12,2020-08-12 01:07:55,2020
10,0,True,True,False,0,True,0,2020-08-11 23:21:28+00:00,active,19,13,0,13,2020-08-12 01:07:55,2020
11,0,True,True,False,0,True,0,2020-08-11 23:22:54+00:00,active,25,14,0,14,2020-08-12 01:07:55,2020
12,0,True,True,False,0,True,0,2020-08-12 00:14:49+00:00,active,4,15,11,15,2020-08-12 01:07:55,2020
13,0,True,True,True,0,True,0,2020-08-12 00:35:10+00:00,active,8,16,11,16,2020-08-12 01:07:55,2020
14,2,True,True,False,0,True,0,2020-08-12 01:01:59+00:00,active,6,17,7,17,2020-08-12 01:07:55,2020
15,0,True,True,False,0,True,0,2020-08-12 00:57:59+00:00,active,9,19,6,19,2020-08-12 01:07:55,2020
16,0,True,True,True,0,True,0,2020-08-12 00:54:11+00:00,active,8,20,15,20,2020-08-12 01:07:55,2020
17,0,True,True,True,0,True,0,2020-08-12 01:03:31+00:00,active,7,21,11,21,2020-08-12 01:07:55,2020
18,0,True,True,True,0,True,0,2020-08-12 00:14:27+00:00,active,47,22,0,22,2020-08-12 01:07:55,2020
19,0,True,True,False,0,True,0,2020-08-12 00:35:15+00:00,active,18,23,3,23,2020-08-12 01:07:55,2020
